location_type,pattern_type,side,events,mean_net_r,median_net_r,win_rate,pf,median_mfe_r_12bars,median_mae_r_12bars
ema20_15m,bearish_engulfing,SHORT,1337,-0.8827605605351373,-0.767535681423809,0.33507853403141363,0.37313684676179115,1.4599199723719989,1.2584978294700764
ema20_15m,bullish_engulfing,LONG,1400,-1.0099977881610738,-0.8846053439684791,0.3157142857142857,0.3267842958920932,1.284181505758708,1.3422694220727307
ema20_15m,bullish_hammer,LONG,601,-1.0452057697678674,-0.9421901812888727,0.33943427620632277,0.38114963589419687,1.7708178324769346,1.6910453967221677
ema20_15m,shooting_star,SHORT,941,-1.2059387762353841,-1.3439801392029342,0.32093517534537724,0.3480042768303036,1.7230910990629467,1.771915302662277
ema50_15m,bearish_engulfing,SHORT,785,-1.0641374508464214,-0.8884186008274952,0.3248407643312102,0.2880891214481895,1.4204830750583983,1.2579453559186138
ema50_15m,bullish_engulfing,LONG,753,-0.9468294102432667,-0.8513542851645393,0.3280212483399734,0.3366312206225642,1.2445848084599072,1.326563882807746
ema50_15m,bullish_hammer,LONG,325,-0.9015529417135895,-0.9421901812888727,0.3630769230769231,0.4498747457025572,1.7136172560060876,1.670191593474756
ema50_15m,shooting_star,SHORT,583,-0.9615707495134275,-1.090295652173948,0.3241852487135506,0.42006837228204685,1.8147313599913277,1.6943351622180196
recent_swing,bearish_engulfing,SHORT,609,-0.66675224218772,-0.7340310662759745,0.3251231527093596,0.46558238587152434,1.1904740770985427,1.2284243787695244
recent_swing,bullish_engulfing,LONG,719,-0.5894027190871409,-0.6883241721458913,0.34075104311543813,0.4798303577937782,1.276522504853119,1.1135110880400498
recent_swing,bullish_hammer,LONG,170,-0.6741360722113723,-0.6771714486536451,0.3352941176470588,0.4056934391794831,1.2539022787283962,1.2195611966218687
recent_swing,shooting_star,SHORT,359,-0.9417033563465014,-0.7554030614822183,0.3593314763231198,0.38742240079138346,1.6392132043104017,1.57245016766869
sweep_reclaim,bearish_engulfing,SHORT,269,-0.5743398889508101,-0.3915024088880728,0.3643122676579926,0.46485214050010226,1.1012166725052428,1.036212084529476
sweep_reclaim,bullish_engulfing,LONG,246,-0.4582769245422092,-0.36559582777129596,0.3902439024390244,0.5397592293346317,1.0606848950789471,0.9540015924287334
sweep_reclaim,bullish_hammer,LONG,243,-0.5256030072147033,-0.3997551125781187,0.3950617283950617,0.4398217111247608,1.0973837616005768,0.9025641025641015
sweep_reclaim,shooting_star,SHORT,280,-0.9537865476062972,-0.5682196610574428,0.325,0.2682470943565496,1.301718366229398,1.3609243727804374
