factor,common,family,role,horizon,direction,original_q5_minus_q1,ordinary_bootstrap_mean,ordinary_bootstrap_p05,ordinary_bootstrap_p50,ordinary_bootstrap_p95,ordinary_positive_rate,ordinary_same_direction_rate,monthly_bootstrap_mean,monthly_bootstrap_p05,monthly_bootstrap_p50,monthly_bootstrap_p95,monthly_positive_rate,monthly_same_direction_rate,quarterly_bootstrap_mean,quarterly_bootstrap_p05,quarterly_bootstrap_p50,quarterly_bootstrap_p95,quarterly_positive_rate,quarterly_same_direction_rate,bootstrap_status
ema_gap_atr,Trend separation: EMA50 distance above EMA200 normalized by ATR.,unmapped,unmapped,16,-1,-0.0037843202843361,0.003774640229788398,0.0011667162294159786,0.0037465284768523925,0.006456898870193423,0.9922,0.9922,0.0038462565947962046,0.0003098812265171989,0.0038054506117895385,0.007494231898409977,0.9642,0.9642,0.0038686445568866788,-1.016581090929572e-05,0.0037673246513099186,0.008087233089358128,0.949,0.949,robust_candidate
ema_gap_atr,Trend separation: EMA50 distance above EMA200 normalized by ATR.,unmapped,unmapped,32,-1,-0.0065900113406744,0.006538872771651309,0.0028523035006435887,0.006531679109301152,0.010225476261869556,0.9978,0.9978,0.006711505053305612,0.0019849241836584165,0.006662199854223101,0.011482075610154848,0.9878,0.9878,0.006711353510980186,0.0011451301846037217,0.006610500943831373,0.012821832889784933,0.9776,0.9776,robust_candidate
ema200_slope_4h,Slow trend slope: 4-hour change in EMA200 showing background trend acceleration.,unmapped,unmapped,1,1,0.0012523566287983,0.0012468546816871387,0.0001512567531247193,0.0012536314021401396,0.0023348282611424,0.972,0.972,0.001234306792894552,-0.00014828964961737244,0.0012334322289992402,0.002643262164150403,0.931,0.931,0.001263297887910697,-3.558607289897306e-05,0.0012112079759263512,0.002694260800993868,0.9442,0.9442,robust_candidate
ret_4h,Short momentum: 4-hour price return before the signal.,momentum_continuation,alpha,1,1,0.0059787909334882,0.0059591948039215414,0.004768734280977282,0.005944910640670781,0.0072080429549908715,1.0,1.0,0.005954285425187557,0.004897594657797804,0.005945677284543779,0.00702308310965869,1.0,1.0,0.005969501250289176,0.005113786850114564,0.005963769998096026,0.0068030466616443895,1.0,1.0,robust_candidate
ret_4h,Short momentum: 4-hour price return before the signal.,momentum_continuation,alpha,4,1,0.0069959204462018,0.006999527907480592,0.005260968706108118,0.006984058573333507,0.00874176318062553,1.0,1.0,0.0069752484705273825,0.004956149942916713,0.0069367476800523235,0.009092479991927223,1.0,1.0,0.0070533620298842605,0.004944439387473852,0.00700646001865106,0.009403978770005251,1.0,1.0,robust_candidate
ret_4h,Short momentum: 4-hour price return before the signal.,momentum_continuation,alpha,8,1,0.0072219736338218,0.007199796661461245,0.005170293825202508,0.007160446260583516,0.009332530024280663,1.0,1.0,0.007282747092446237,0.004944170231240644,0.007236787470783686,0.009764726778066245,1.0,1.0,0.0073532341165229494,0.00490876762631942,0.007193883431776377,0.010276797272591693,1.0,1.0,robust_candidate
ret_4h,Short momentum: 4-hour price return before the signal.,momentum_continuation,alpha,16,1,0.0082837760278289,0.008260150909884264,0.005717002855878171,0.008216071127658887,0.010829424959422828,1.0,1.0,0.008326811701974031,0.005411839856216463,0.008223472515814137,0.011605906295509625,1.0,1.0,0.008353758903092352,0.005372787717746054,0.008097353548977313,0.012216002582206764,1.0,1.0,robust_candidate
ret_4h,Short momentum: 4-hour price return before the signal.,momentum_continuation,alpha,32,1,0.0087393612402487,0.008758577370717325,0.005750911380751046,0.008749111559481644,0.01185130508335566,1.0,1.0,0.008732209277004677,0.005555521232556536,0.008727014245871722,0.012022618289806235,1.0,1.0,0.008812299764377744,0.005549104894850748,0.008592394000326731,0.012778765644376966,1.0,1.0,robust_candidate
ret_12h,Intraday momentum: 12-hour price return before the signal.,momentum_continuation,alpha,1,1,0.0043797139598536,0.004379009874782328,0.003232621170902701,0.004352607012440638,0.005596190270660355,1.0,1.0,0.004389838331179637,0.003154096230556603,0.00437188339697887,0.005672177872797195,1.0,1.0,0.004387693946888931,0.003518866440147657,0.00435346156043335,0.005394680533123871,1.0,1.0,robust_candidate
ret_12h,Intraday momentum: 12-hour price return before the signal.,momentum_continuation,alpha,4,1,0.0059156352475716,0.005923449278334942,0.004146446916525241,0.005923244439337937,0.007740954913963562,1.0,1.0,0.005845389181737846,0.0038272009729901184,0.005892582883784464,0.007793049966314337,1.0,1.0,0.005900893514860482,0.004308004045849476,0.0059483401186185125,0.007323578833014952,1.0,1.0,robust_candidate
