factor,family,horizon,original_edge,remove_best_1_month_edge,remove_best_2_month_edge,remove_best_quarter_edge,repeat_worst_1_month_edge,repeat_worst_2_month_edge,stress_status
ema_gap_atr,unmapped,16,0.0037843202843361023,0.0026863424498880014,0.001918940659665887,0.0026952494617072664,0.0028864619192593708,0.0022669991556812834,stress_survives
ema_gap_atr,unmapped,32,0.006590011340674485,0.005117961590210412,0.0040947248378382815,0.003909414870850659,0.005481804192487892,0.004562194742190785,stress_survives
ema200_slope_4h,unmapped,1,0.0012523566287983281,0.000921562934866036,0.0005181395404886381,0.0006699570343401892,0.0009684730305118405,0.0007281308120288214,stress_survives
ret_4h,momentum_continuation,1,0.005978790933488232,0.005745422538545682,0.005515564668377144,0.005704431338446066,0.005724770951238311,0.005573066431507157,stress_survives
ret_4h,momentum_continuation,4,0.006995920446201811,0.006480407299857459,0.005968957183533125,0.006280127409320524,0.00639990132160484,0.0060728813194202425,stress_survives
ret_4h,momentum_continuation,8,0.00722197363382187,0.006436491032681295,0.00586919194824371,0.006053302339862203,0.006626254734117591,0.006172621495026363,stress_survives
ret_4h,momentum_continuation,16,0.008283776027828907,0.007123913578795962,0.006474167335094675,0.006611538900390929,0.007706723397016741,0.007209024800865715,stress_survives
ret_4h,momentum_continuation,32,0.008739361240248732,0.007803621580696363,0.0070390140992116264,0.00695430749904206,0.007876975726737009,0.007552829957808413,stress_survives
ret_12h,momentum_continuation,1,0.004379713959853641,0.004078304181808698,0.0037706437123071583,0.003950780498193393,0.004158009861885945,0.003953259137333404,stress_survives
ret_12h,momentum_continuation,4,0.005915635247571627,0.00547332569488424,0.005018477655379331,0.005496382445302376,0.005320062958571142,0.005059233295063482,stress_survives
ret_12h,momentum_continuation,8,0.005189867716874381,0.004567979832510601,0.004093073214448361,0.004577167480320031,0.004691470586136601,0.004238870641289458,stress_survives
ret_24h,momentum_continuation,1,0.004603989540703763,0.004174896812189424,0.0038539716785472864,0.00429362896125811,0.004388542771623239,0.004212046716306808,stress_survives
ret_24h,momentum_continuation,4,0.004848610042667937,0.004251402276368563,0.0036354832264042358,0.004169250035026348,0.004411285519649932,0.004058529445731113,stress_survives
ret_24h,momentum_continuation,8,0.0036926946602230913,0.002652869617664596,0.002145430767284658,0.002850928013213864,0.003250486207369915,0.002860657222637554,stress_survives
ret_24h,momentum_continuation,16,0.00507094578897676,0.003756050010345788,0.0031058986972212627,0.003914876715696527,0.004409879760449548,0.003925907221009501,stress_survives
breakout_distance_atr,breakout_conviction,1,0.008443222013330854,0.008143391239926658,0.007820811903443529,0.008065180487963309,0.008252212035272325,0.008087437244192865,stress_survives
breakout_distance_atr,breakout_conviction,4,0.00880655030066153,0.008306278304094129,0.007880190937056136,0.008352234901139066,0.008148451989407172,0.007997541369208395,stress_survives
breakout_distance_atr,breakout_conviction,8,0.009434042400606198,0.009049589591426387,0.0086689143296447,0.008927035381134497,0.008959571991546211,0.008684735348548387,stress_survives
breakout_distance_atr,breakout_conviction,16,0.00945663341135729,0.00896661615795535,0.00846281085981947,0.00867298294205425,0.008929526417869347,0.0085796086463544,stress_survives
breakout_distance_atr,breakout_conviction,32,0.010333911432145597,0.009754321711228094,0.009198351536583355,0.009593929236307593,0.009729441095551048,0.009171962970957634,stress_survives
atr_pct,volatility_expansion,1,0.005897710979957825,0.00561275679523128,0.0053934149577411685,0.005747324419333065,0.0056416674037179215,0.005512930044098342,stress_survives
atr_pct,volatility_expansion,4,0.006936925800898596,0.006362983863885084,0.00581064337696729,0.006284742749225353,0.006489856024969113,0.006086954648393681,stress_survives
atr_pct,volatility_expansion,8,0.0058174667590795495,0.005113333411071978,0.0042998079064375475,0.004917917978406088,0.005113799672881266,0.0046763799689507005,stress_survives
atr_percentile_200,volatility_expansion,1,0.003944534346367323,0.003679456567356464,0.0034694440811057943,0.003735980075129452,0.0036794509299298093,0.0035173876366858432,stress_survives
atr_percentile_200,volatility_expansion,4,0.005293437770904725,0.004751423655509018,0.004286105375068686,0.004611870798510689,0.004896727485458945,0.0046367285895097775,stress_survives
atr_percentile_200,volatility_expansion,8,0.005853715815755684,0.005088514249957559,0.00471720493701464,0.004961551138536885,0.0053163601591481435,0.0048982702136033136,stress_survives
atr_percentile_200,volatility_expansion,16,0.009346510158349438,0.007875319589546827,0.00736191307557218,0.007680648998859631,0.008785206644348197,0.00836123869290802,stress_survives
atr_percentile_200,volatility_expansion,32,0.011390012017189827,0.009848217915541297,0.008870220186488115,0.009316769175734941,0.010777009677542068,0.010202400236102286,stress_survives
range_atr,breakout_conviction,1,0.007688785459937033,0.007397227887369566,0.0071009444975190525,0.007514504445131679,0.007430659636943247,0.007323426176824167,stress_survives
range_atr,breakout_conviction,4,0.007752941239217213,0.007259951761625494,0.0068869252809533954,0.007366745028253778,0.007362321030290681,0.007102434079552936,stress_survives
