trade_id,symbol,mode,decision_entry_time,actual_entry_time,decision_exit_time,actual_exit_time,hold_periods,min_known_rate_decimal,min_known_rate_bp,known_rate_decimal,known_rate_bp,funding_income,spot_qty,perp_qty,spot_entry_notional,perp_entry_notional,spot_pnl,perp_pnl,two_leg_residual_pnl,gross_carry_pnl,basis_pnl,initial_net_delta,spot_entry_source,perp_entry_source,spot_exit_source,perp_exit_source,same_minute_close_used,future_price_used,execution_status,passes_cost_coverage_gate,required_avg_rate_decimal,required_avg_rate_bp,legacy_total_cost_rate,net_pnl,net_return,total_fee,total_slippage,total_cost,accounting_expected_net,accounting_error,accounting_status,explicit_total_cost_rate,mapping_status
FRC1_BTCUSDT_2024-12-01 00:00:00+00:00,BTCUSDT,funding,2024-12-01 00:00:00+00:00,2024-12-01 00:01:00+00:00,2024-12-03 00:00:00+00:00,2024-12-03 00:01:00+00:00,6,5e-05,0.5,0.00015901,1.5901,10.6029,0.1037036729766894,0.1037036729766894,10000,10000,-56.559983241487345,56.559983241487345,0.0,10.602899999999998,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-13.397100000000002,-0.0013397100000000002,16.0,5.999999999999999,24.0,-13.397100000000002,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-03 00:00:00+00:00,BTCUSDT,funding,2024-12-03 00:00:00+00:00,2024-12-03 00:01:00+00:00,2024-12-05 00:00:00.001000+00:00,2024-12-05 00:01:00+00:00,6,5e-05,0.5,0.00012779,1.2779,14.0625,0.1042935571612128,0.1042935571612128,10000,10000,294.87960351761404,-294.87960351761404,0.0,14.0625,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-9.9375,-0.00099375,16.0,5.999999999999999,24.0,-9.9375,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-05 00:00:00.001000+00:00,BTCUSDT,funding,2024-12-05 00:00:00.001000+00:00,2024-12-05 00:01:00+00:00,2024-12-07 00:00:00+00:00,2024-12-07 00:01:00+00:00,6,5e-05,0.5,0.00027625,2.7625,18.6111,0.1013062426932872,0.1013062426932872,10000,10000,118.27503834441283,-118.27503834441283,0.0,18.611099999999993,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-5.388900000000007,-0.0005388900000000006,16.0,5.999999999999999,24.0,-5.388900000000007,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-07 00:00:00+00:00,BTCUSDT,funding,2024-12-07 00:00:00+00:00,2024-12-07 00:01:00+00:00,2024-12-09 00:00:00+00:00,2024-12-09 00:01:00+00:00,6,5e-05,0.5,0.00031972,3.1972,10.8014,0.1001220487774597,0.1001220487774597,10000,10000,142.35352895179105,-142.35352895179105,0.0,10.8014,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-13.1986,-0.0013198600000000002,16.0,5.999999999999999,24.0,-13.1986,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-09 00:00:00+00:00,BTCUSDT,funding,2024-12-09 00:00:00+00:00,2024-12-09 00:01:00+00:00,2024-12-11 00:00:00+00:00,2024-12-11 00:01:00+00:00,6,5e-05,0.5,0.00030413,3.0413,7.214700000000001,0.0987167805693786,0.0987167805693786,10000,10000,-467.4535710301776,467.4535710301776,0.0,7.2146999999999935,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-16.785300000000007,-0.0016785300000000006,16.0,5.999999999999999,24.0,-16.785300000000007,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-11 00:00:00+00:00,BTCUSDT,funding,2024-12-11 00:00:00+00:00,2024-12-11 00:01:00+00:00,2024-12-13 00:00:00+00:00,2024-12-13 00:01:00+00:00,6,5e-05,0.5,0.0001,1.0,6.0,0.1035576184233145,0.1035576184233145,10000,10000,349.39304879842035,-349.39304879842035,0.0,6.0,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.0,-0.0018,16.0,5.999999999999999,24.0,-18.0,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-13 00:00:00+00:00,BTCUSDT,funding,2024-12-13 00:00:00+00:00,2024-12-13 00:01:00+00:00,2024-12-15 00:00:00+00:00,2024-12-15 00:01:00+00:00,6,5e-05,0.5,0.0001,1.0,5.675,0.1000615378457751,0.1000615378457751,10000,10000,139.24563606618128,-139.24563606618128,0.0,5.675000000000011,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.32499999999999,-0.0018324999999999988,16.0,5.999999999999999,24.0,-18.32499999999999,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-15 00:00:00+00:00,BTCUSDT,funding,2024-12-15 00:00:00+00:00,2024-12-15 00:01:00+00:00,2024-12-17 00:00:00+00:00,2024-12-17 00:01:00+00:00,6,5e-05,0.5,0.0001,1.0,5.5241,0.0986873594321924,0.0986873594321924,10000,10000,465.08391879609286,-465.08391879609286,0.0,5.524099999999976,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.475900000000024,-0.0018475900000000025,16.0,5.999999999999999,24.0,-18.475900000000024,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-17 00:00:00+00:00,BTCUSDT,funding,2024-12-17 00:00:00+00:00,2024-12-17 00:01:00+00:00,2024-12-19 00:00:00+00:00,2024-12-19 00:01:00+00:00,6,5e-05,0.5,7.866e-05,0.7866,5.9159,0.0943015461681509,0.0943015461681509,10000,10000,-538.9616268148335,538.9616268148335,0.0,5.915899999999965,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.084100000000035,-0.0018084100000000036,16.0,5.999999999999999,24.0,-18.084100000000035,0.0,ok,0.0024,explicit
FRC1_BTCUSDT_2024-12-19 00:00:00+00:00,BTCUSDT,funding,2024-12-19 00:00:00+00:00,2024-12-19 00:01:00+00:00,2024-12-21 00:00:00+00:00,2024-12-21 00:01:00+00:00,6,5e-05,0.5,0.0001,1.0,6.0,0.0996735690613241,0.0996735690613241,10000,10000,-261.4437716478533,261.4437716478533,0.0,6.0,0.0,0.0,open,open,open,open,False,False,ok,False,0.0004166666666666,4.166666666666667,0.0022,-18.0,-0.0018,16.0,5.999999999999999,24.0,-18.0,0.0,ok,0.0024,explicit
