trade_id,exchange,symbol,mode,spot_entry_time,derivative_entry_time,spot_exit_time,derivative_exit_time,spot_quantity,derivative_quantity,initial_delta,max_absolute_delta,initial_basis,exit_basis,basis_convergence_pnl,funding_income,funding_paid,spot_gross_pnl,derivative_gross_pnl,directional_residual_pnl,spot_fee,derivative_fee,slippage_cost,borrow_cost,transfer_cost,rebalance_cost,liquidation_fee,net_pnl,net_return,annualized_carry,exit_reason
FRC1_ETHUSDT_0,binance,ETHUSDT,funding,2024-12-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,2024-12-01 08:00:00+00:00,2024-12-01 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.874e-05,0.0,1.1863,0.0,0.0,0.0,0.1874,4.0,4.0,2.0,0,0,0,0,-8.8137,-0.00088137,-0.96510015,next_funding_or_cost
FRC1_ETHUSDT_1,binance,ETHUSDT,funding,2024-12-01 08:00:00+00:00,2024-12-01 08:00:00+00:00,2024-12-01 16:00:00+00:00,2024-12-01 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,1.3270000000000014e-05,0.0,1.3737,0.0,0.0,0.0,0.13270000000000012,4.0,4.0,2.0,0,0,0,0,-8.6263,-0.0008626300000000001,-0.9445798500000001,next_funding_or_cost
FRC1_ETHUSDT_2,binance,ETHUSDT,funding,2024-12-01 16:00:00+00:00,2024-12-01 16:00:00+00:00,2024-12-02 00:00:00+00:00,2024-12-02 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,0.00021067,0.0,1.5064000000000002,0.0,0.0,0.0,2.1067,4.0,4.0,2.0,0,0,0,0,-8.4936,-0.0008493600000000001,-0.9300492,next_funding_or_cost
FRC1_ETHUSDT_3,binance,ETHUSDT,funding,2024-12-02 00:00:00.001000+00:00,2024-12-02 00:00:00.001000+00:00,2024-12-02 08:00:00.001000+00:00,2024-12-02 08:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-6.820999999999997e-05,0.0,3.6130999999999998,0.0,0.0,0.0,-0.6820999999999997,4.0,4.0,2.0,0,0,0,0,-6.386900000000001,-0.00063869,-0.69936555,next_funding_or_cost
FRC1_ETHUSDT_4,binance,ETHUSDT,funding,2024-12-02 08:00:00.001000+00:00,2024-12-02 08:00:00.001000+00:00,2024-12-02 16:00:00.001000+00:00,2024-12-02 16:00:00.001000+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-9.270000000000025e-06,0.0,2.931,0.0,0.0,0.0,-0.09270000000000025,4.0,4.0,2.0,0,0,0,0,-7.069,-0.0007069,-0.7740555,next_funding_or_cost
FRC1_ETHUSDT_5,binance,ETHUSDT,funding,2024-12-02 16:00:00+00:00,2024-12-02 16:00:00+00:00,2024-12-03 00:00:00+00:00,2024-12-03 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-1.9189999999999984e-05,0.0,2.8383,0.0,0.0,0.0,-0.19189999999999985,4.0,4.0,2.0,0,0,0,0,-7.1617,-0.00071617,-0.78420615,next_funding_or_cost
FRC1_ETHUSDT_6,binance,ETHUSDT,funding,2024-12-03 00:00:00+00:00,2024-12-03 00:00:00+00:00,2024-12-03 08:00:00+00:00,2024-12-03 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,8.224999999999997e-05,0.0,2.6464000000000003,0.0,0.0,0.0,0.8224999999999997,4.0,4.0,2.0,0,0,0,0,-7.3536,-0.00073536,-0.8052192,next_funding_or_cost
FRC1_ETHUSDT_7,binance,ETHUSDT,funding,2024-12-03 08:00:00+00:00,2024-12-03 08:00:00+00:00,2024-12-03 16:00:00+00:00,2024-12-03 16:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-0.00020391999999999999,0.0,3.4688999999999997,0.0,0.0,0.0,-2.0391999999999997,4.0,4.0,2.0,0,0,0,0,-6.5311,-0.00065311,-0.71515545,next_funding_or_cost
FRC1_ETHUSDT_8,binance,ETHUSDT,funding,2024-12-03 16:00:00+00:00,2024-12-03 16:00:00+00:00,2024-12-04 00:00:00+00:00,2024-12-04 00:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,4.4349999999999994e-05,0.0,1.4297,0.0,0.0,0.0,0.44349999999999995,4.0,4.0,2.0,0,0,0,0,-8.5703,-0.0008570299999999999,-0.93844785,next_funding_or_cost
FRC1_ETHUSDT_9,binance,ETHUSDT,funding,2024-12-04 00:00:00+00:00,2024-12-04 00:00:00+00:00,2024-12-04 08:00:00+00:00,2024-12-04 08:00:00+00:00,3.3333333333333335,3.3333333333333335,0.0,0.01,0.0,-2.8329999999999995e-05,0.0,1.8732,0.0,0.0,0.0,-0.28329999999999994,4.0,4.0,2.0,0,0,0,0,-8.1268,-0.00081268,-0.8898846,next_funding_or_cost
