factor_name,factor_family,factor_role,formula,lookback,normalization,expected_direction,realtime_available,uses_future_data,leakage_risk,used_by,research_status,oos_status,version,fit_scope,transform_scope
ema_gap_atr,trend_structure,trend_regime_factor,(EMA50-EMA200)/ATR14,200 bars,ATR,higher_trend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
ema200_slope_4h,trend_structure,trend_regime_factor,(EMA200-EMA200[-16])/ATR14,216 bars,ATR,higher_trend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
adx_14,trend_structure,trend_regime_factor,ADX on completed 15m bars,28 bars,none,higher_trend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
efficiency_ratio_20,trend_range_structure,dual_use_candidate,"abs(close-close[-20])/sum(abs(diff(close)),20)",20 bars,ratio,higher_trend_lower_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
efficiency_ratio_40,trend_range_structure,dual_use_candidate,"abs(close-close[-40])/sum(abs(diff(close)),40)",40 bars,ratio,higher_trend_lower_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
higher_high_lower_low_score,trend_structure,trend_regime_factor,HH+HL-LH-LL over 20 bars,20 bars,score,higher_trend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
donchian_position_55,trend_structure,trend_regime_factor,(close-low55)/(high55-low55),55 bars,range,higher_uptrend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
breakout_duration_55,trend_structure,trend_regime_factor,consecutive completed bars closing above prior Donchian55 high,55 bars,bars,higher_trend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
return_autocorr_20,trend_range_structure,dual_use_candidate,"rolling corr(ret, ret[-1])",20 bars,correlation,positive_trend_negative_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
trend_direction_consistency_20,trend_structure,trend_regime_factor,"abs(mean(sign(ret),20))",20 bars,ratio,higher_trend,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
mean_cross_count_ema20_96,range_structure,range_regime_factor,cross count around EMA20 over 96 bars,96 bars,count,higher_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
range_width_atr_96,range_structure,range_regime_factor,(rolling high96-low96)/ATR14,96 bars,ATR,moderate_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
range_round_trip_count_96,range_structure,range_regime_factor,EMA20 cross count / 2 over 96 bars,96 bars,count,higher_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
breakout_failure_rate_96,range_structure,range_regime_factor,failed Donchian55 attempts / attempts,96 bars,ratio,higher_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
zscore_ema20,mean_deviation,alpha_factor,(close-EMA20)/rolling_std20,20 bars,zscore,lower_long_reversion,True,False,low,R4,candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
zscore_ema50,mean_deviation,alpha_factor,(close-EMA50)/rolling_std50,50 bars,zscore,lower_long_reversion,True,False,low,R4,candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
vwap_deviation_atr,mean_deviation,alpha_factor,(close-VWAP96)/ATR14,96 bars,ATR,lower_long_reversion,True,False,low,R4,candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
range_position_96,mean_deviation,alpha_factor,(close-low96)/(high96-low96),96 bars,range,lower_long_reversion,True,False,low,R4,candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
lower_band_distance,mean_deviation,alpha_factor,(close-BollingerLower20)/ATR14,20 bars,ATR,lower_oversold,True,False,low,R4,candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
short_return_oversold,mean_deviation,alpha_factor,"rank(ret_4bar_sum, rolling 200)",200 bars,rolling_percentile,lower_oversold,True,False,low,R4,candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
variance_ratio_20_80,range_structure,range_regime_factor,var(ret20)/var(ret80),80 bars,ratio,lower_range,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
range_persistence_96,range_structure,range_regime_factor,share of closes inside prior 96 bar range,96 bars,ratio,higher_range,True,False,low,"R2,R3,R4",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
atr_pct,volatility_structure,volatility_regime_factor,ATR14/close,14 bars,pct,higher_volatility,True,False,low,"R2,R3,R5",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
atr_percentile_200,volatility_structure,volatility_regime_factor,rolling percentile of ATR pct,200 bars,rolling_percentile,higher_extreme,True,False,low,"R2,R3,R5",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
volatility_ratio_short_long,volatility_structure,volatility_regime_factor,RV20/RV80,80 bars,ratio,higher_expansion,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
realized_volatility_20,volatility_structure,volatility_regime_factor,"std(ret,20)*sqrt(96)",20 bars,annualized_intraday_proxy,higher_volatility,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
realized_volatility_80,volatility_structure,volatility_regime_factor,"std(ret,80)*sqrt(96)",80 bars,annualized_intraday_proxy,higher_volatility,True,False,low,"R2,R3",candidate_frozen_before_r1,not_tested,r1_v1,rolling_history,per_symbol_realtime
