time,equity,symbol,prototype,gate,leverage_mode
2024-01-01 18:01:00+00:00,1000.0,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-03 07:45:00+00:00,1292.9606175147485,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-09 08:45:00+00:00,1614.5684806096406,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-09 21:15:00+00:00,1525.7832022058178,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-11 16:00:00+00:00,1402.2152056518853,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-26 23:45:00+00:00,1501.6543751456447,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-28 15:30:00+00:00,1439.0350954345056,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-01-30 06:30:00+00:00,1516.2464074823706,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-08 06:45:00+00:00,1712.3740437828105,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-09 22:30:00+00:00,2188.01384608442,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-13 03:30:00+00:00,3374.4117954092226,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-15 07:30:00+00:00,4006.7849812151885,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-19 16:45:00+00:00,3866.9930988059377,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-20 14:40:00+00:00,3325.289311820724,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-26 01:00:00+00:00,3298.671677899171,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-02-29 16:30:00+00:00,4420.179449716615,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-03-05 04:45:00+00:00,9105.005003490558,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-03-08 15:32:00+00:00,8595.64251817033,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-03-10 14:30:00+00:00,8888.317333501152,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-03-12 03:15:00+00:00,10288.391515367432,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-03-26 14:15:00+00:00,11441.214916857221,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-03-27 14:00:00+00:00,10534.057667056917,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-04-01 03:00:00+00:00,10566.955379924048,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-04-05 05:15:00+00:00,9400.08543429426,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-04-07 19:45:00+00:00,9478.970754707327,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
2024-04-08 14:30:00+00:00,9799.955539596855,BTCUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_5x_12x_v1
