time,equity,symbol,prototype,gate,leverage_mode
2024-01-10 23:01:00+00:00,1000.0,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-01-11 16:00:00+00:00,1118.715525125083,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-01-17 03:45:00+00:00,1275.4437028092193,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-01-28 12:00:00+00:00,1264.8221760813456,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-07 03:15:00+00:00,1391.1540919786737,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-08 23:15:00+00:00,1279.2363636075424,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-11 10:15:00+00:00,1252.400781276635,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-13 13:30:00+00:00,1770.9303159072765,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-15 05:45:00+00:00,2479.207389797511,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-20 01:15:00+00:00,3339.9519426029556,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-26 02:45:00+00:00,4562.360014981614,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-02-27 15:45:00+00:00,6130.997927888667,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
2024-03-27 14:00:00+00:00,4908.564919636111,ETHUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,fixed_10x
