time,equity,symbol,prototype,gate,leverage_mode
2024-01-08 17:46:00+00:00,1000.0,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-01-09 00:15:00+00:00,1167.4391193489025,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-01-11 16:00:00+00:00,2204.3886248361478,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-01-12 16:45:00+00:00,2152.302723646644,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-01-17 03:45:00+00:00,2453.8328947453474,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-01-28 12:00:00+00:00,2433.398083220646,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-02-07 03:15:00+00:00,2676.4487252852737,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-02-15 05:45:00+00:00,3746.884560357147,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-02-20 01:15:00+00:00,5047.748089802196,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-02-20 14:40:00+00:00,4193.095019965273,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-02-26 02:45:00+00:00,5727.749796064138,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-02-27 15:45:00+00:00,7697.0738862824,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-03-02 05:00:00+00:00,8168.653259882269,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-03-04 00:49:00+00:00,7046.720021802988,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-03-12 03:15:00+00:00,7397.835540493139,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-03-27 14:00:00+00:00,5922.813291148332,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-04-28 10:00:00+00:00,8116.245847546101,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-05-06 10:30:00+00:00,7256.843825690079,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-05-21 17:00:00+00:00,20832.16604016166,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-06-17 05:45:00+00:00,19068.555055436726,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-07-01 08:30:00+00:00,22182.055723668687,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-07-27 17:00:00+00:00,20566.511773253733,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-08-11 11:30:00+00:00,21007.18870215295,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-08-23 11:00:00+00:00,20497.08168447685,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-08-23 14:49:00+00:00,17914.841228875892,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-08-24 01:30:00+00:00,21188.977266344384,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-08-24 21:30:00+00:00,20899.29018483762,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-09-11 01:15:00+00:00,20809.11718242034,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-09-14 05:15:00+00:00,24635.703395491513,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-09-20 13:00:00+00:00,30071.662054782268,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-10-07 07:30:00+00:00,33069.72440905854,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-10-15 03:30:00+00:00,51072.663533898005,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-10-15 14:30:00+00:00,40665.673281501426,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-10-21 07:45:00+00:00,50904.316430464925,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-10-28 15:45:00+00:00,47617.52399110478,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
2024-10-29 20:15:00+00:00,58670.34743574157,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,fixed_10x
