time,equity,symbol,prototype,gate,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-01-02 14:15:00+00:00,1175.117600866256,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-01-09 21:45:00+00:00,1143.174285269324,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-01-14 19:30:00+00:00,1036.9631719048073,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-01-26 21:00:00+00:00,1117.2044911179044,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-01-28 17:15:00+00:00,1393.1540039722304,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-01-30 22:45:00+00:00,1620.6940882842057,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-08 06:30:00+00:00,1986.615016492312,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-10 08:45:00+00:00,3049.5575863900567,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-13 11:00:00+00:00,3064.7777558759744,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-14 18:00:00+00:00,3602.553345862134,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-19 18:45:00+00:00,3597.2991781206165,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-28 17:31:00+00:00,3274.8316243224467,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-02-29 22:15:00+00:00,3604.2882615930575,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
2024-03-05 17:00:00+00:00,3397.5204763561696,SOLUSDT,P4_BREAKOUT_TOP20,G0_NO_PATH_GATE,adaptive_4x_10x_v1
