time,equity,symbol,prototype,gate,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-01-02 14:15:00+00:00,1175.117600866256,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-01-09 21:45:00+00:00,1143.174285269324,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-01-14 19:30:00+00:00,1036.9631719048073,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-01-26 21:00:00+00:00,1117.2044911179044,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-01-28 17:15:00+00:00,1255.1792475450675,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-01-30 22:45:00+00:00,1460.1842871880067,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-02-08 06:30:00+00:00,1789.8652514027847,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-02-10 08:45:00+00:00,2747.536443003843,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-02-13 11:00:00+00:00,2761.249242039967,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-02-14 18:00:00+00:00,3003.5070105502414,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
2024-02-19 18:45:00+00:00,2999.126525896383,SOLUSDT,P4_BREAKOUT_TOP20,G4_RISK_MONITOR_DOWNSHIFT,adaptive_4x_10x_v1
