time,equity,symbol,prototype,gate,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-02 14:15:00+00:00,1583.7253362208535,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-09 09:30:00+00:00,2012.0155415521258,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-09 21:45:00+00:00,1829.7062776896446,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-11 06:00:00+00:00,942.0422270082386,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-11 15:30:00+00:00,626.0636330051434,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-14 11:00:00+00:00,591.9911947879851,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-14 19:30:00+00:00,434.80025538907773,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-17 16:18:00+00:00,305.30054034876275,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-26 21:00:00+00:00,423.42295191452763,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-28 17:15:00+00:00,528.0084223821929,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-01-30 22:45:00+00:00,815.469058712226,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-08 06:30:00+00:00,999.5859732157368,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-10 08:45:00+00:00,1534.4165641370178,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-13 11:00:00+00:00,1662.489501093803,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-14 18:00:00+00:00,1954.2060115593326,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-19 18:45:00+00:00,1947.0806998703276,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-27 12:45:00+00:00,2806.0993045843466,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-28 17:31:00+00:00,1967.6221270695523,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-02-29 22:15:00+00:00,3111.1952209397414,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-01 07:30:00+00:00,3069.2943040358005,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-05 17:00:00+00:00,2482.371968357449,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-07 23:30:00+00:00,4832.682123813262,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-08 15:32:00+00:00,3762.016292472853,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-12 08:15:00+00:00,3197.6523344737293,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-14 13:45:00+00:00,6656.779497786965,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-15 08:45:00+00:00,4493.024797920985,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-15 20:30:00+00:00,3007.507978029418,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-16 17:30:00+00:00,2620.4397849734537,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-18 14:30:00+00:00,4108.453813630862,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-21 04:30:00+00:00,3606.041167927857,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-25 21:15:00+00:00,5735.953833216854,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-03-30 19:00:00+00:00,5343.541122166902,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-04-15 11:30:00+00:00,5142.180416124007,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-04-19 00:15:00+00:00,4371.3462533897,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-04-19 14:15:00+00:00,3979.433427343696,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-04-20 22:45:00+00:00,5019.491801519116,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-04-21 13:45:00+00:00,3987.610723569519,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-04-22 15:00:00+00:00,3145.0081337075144,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-05-02 20:30:00+00:00,3536.244558661047,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-05-05 00:30:00+00:00,3058.7854974454226,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-05-07 13:45:00+00:00,3734.6680492243368,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
2024-05-10 13:15:00+00:00,4170.466764826849,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G0_NO_PATH_GATE,fixed_10x
