symbol,prototype,gate,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,1,SOLUSDT_2024-01-01T16:00:00+00:00,2024-01-01 16:01:00+00:00,2024-01-02 14:15:00+00:00,106.1622282,112.4685018,105.919,71.305629941,3.0,175.11760086625603,0.17511760086625602,1000.0,1175.117600866256,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,2,SOLUSDT_2024-01-09T21:00:00+00:00,2024-01-09 21:01:00+00:00,2024-01-09 21:45:00+00:00,97.0434048,96.260744,96.467,65.18082022400002,3.0,-31.943315596932003,-0.027183079866546545,1175.117600866256,1143.174285269324,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,3,SOLUSDT_2024-01-10T23:00:00+00:00,2024-01-10 23:01:00+00:00,2024-01-11 06:00:00+00:00,103.1236206,98.2213518,99.0,69.264698503,3.0,-166.37993688992177,-0.14554205691455332,1143.174285269324,976.7943483794022,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,4,SOLUSDT_2024-01-14T05:15:00+00:00,2024-01-14 05:16:00+00:00,2024-01-14 11:00:00+00:00,97.1464254,96.7146532,97.046,49.058944827,2.0,-10.632071032866763,-0.010884656581507062,976.7943483794022,966.1622773465355,False,,drawdown_gt_10pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,5,SOLUSDT_2024-01-17T11:15:00+00:00,2024-01-17 11:16:00+00:00,2024-01-17 16:18:00+00:00,101.5323024,98.60836249666286,98.40700000000001,51.273812712,2.0,-57.55182433695558,-0.05956745123087987,966.1622773465355,908.6104530095798,False,,drawdown_gt_10pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,6,SOLUSDT_2024-01-26T10:30:00+00:00,2024-01-26 10:31:00+00:00,2024-01-26 21:00:00+00:00,88.3386642,91.846627,88.254,0.44169332100000247,1.0,35.15462427965158,0.03869053472058276,908.6104530095798,943.7650772892314,False,,drawdown_gt_20pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,7,SOLUSDT_2024-01-27T23:00:00+00:00,2024-01-27 23:01:00+00:00,2024-01-28 17:15:00+00:00,93.7667496,96.1777606,93.155,47.352208548,2.0,46.621995417561216,0.04940000063519323,943.7650772892314,990.3870727067927,False,,drawdown_gt_10pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,8,SOLUSDT_2024-01-29T15:45:00+00:00,2024-01-29 15:46:00+00:00,2024-01-30 22:45:00+00:00,97.9755912,103.4103138,97.94,49.477673556,2.0,107.83816547807207,0.10888486779552091,990.3870727067927,1098.2252381848648,False,,drawdown_gt_10pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,9,SOLUSDT_2024-02-07T21:15:00+00:00,2024-02-07 21:16:00+00:00,2024-02-08 06:30:00+00:00,98.6057172,100.9318096,98.585,79.377602346,5.0,123.97885617131448,0.11289019033675227,1098.2252381848648,1222.2040943561792,False,,default_5x
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,10,SOLUSDT_2024-02-08T13:45:00+00:00,2024-02-08 13:46:00+00:00,2024-02-10 08:45:00+00:00,102.59651519999998,108.1913574,101.62,94.55978817599998,12.0,784.731465458263,0.6420625401943496,1222.2040943561792,2006.935559814442,False,,all_raise_conditions_met
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,11,SOLUSDT_2024-02-19T13:00:00+00:00,2024-02-19 13:01:00+00:00,2024-02-19 18:45:00+00:00,111.987393,112.0585838,111.75,90.149851365,5.0,-3.6587855422712483,-0.0018230707629743397,2006.935559814442,2003.2767742721708,False,,default_5x
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,12,SOLUSDT_2024-02-26T16:30:00+00:00,2024-02-26 16:31:00+00:00,2024-02-27 12:45:00+00:00,105.3350628,110.0899776,105.16100000000002,70.75005051400001,3.0,265.1434046271251,0.1323548538236594,2003.2767742721708,2268.420178899296,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,13,SOLUSDT_2024-02-28T10:45:00+00:00,2024-02-28 10:46:00+00:00,2024-02-28 17:31:00+00:00,112.17243,108.93121082828571,104.6,75.34248215000001,3.0,-203.34475111915077,-0.08964157214375496,2268.420178899296,2065.075427780145,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,14,SOLUSDT_2024-02-28T22:00:00+00:00,2024-02-28 22:01:00+00:00,2024-02-29 22:15:00+00:00,116.9893932,123.9092132,115.517,78.577875766,3.0,360.06375363429225,0.17435864510834992,2065.075427780145,2425.1391814144376,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,15,SOLUSDT_2024-03-01T01:30:00+00:00,2024-03-01 01:31:00+00:00,2024-03-01 07:30:00+00:00,132.1294206,132.08357800000002,131.6,88.74692750300001,3.0,-9.798377932411931,-0.0040403363268813,2425.1391814144376,2415.340803482026,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,16,SOLUSDT_2024-03-05T14:30:00+00:00,2024-03-05 14:31:00+00:00,2024-03-05 17:00:00+00:00,132.6185184,130.213952,131.04,89.07543819200001,3.0,-138.56124490651263,-0.05736716106760532,2415.340803482026,2276.7795585755134,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,17,SOLUSDT_2024-03-07T00:30:00+00:00,2024-03-07 00:31:00+00:00,2024-03-07 23:30:00+00:00,131.7253398,144.33512720000002,131.55,88.475519899,3.0,646.6965692246762,0.2840400454180498,2276.7795585755134,2923.4761278001897,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,18,SOLUSDT_2024-03-24T21:00:00+00:00,2024-03-24 21:01:00+00:00,2024-03-25 21:15:00+00:00,179.5489026,190.3389246,179.392,165.484238563,12.0,2072.105738554197,0.7087814806660939,2923.4761278001897,4995.581866354387,False,,all_raise_conditions_met
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,19,SOLUSDT_2024-04-19T06:45:00+00:00,2024-04-19 06:46:00+00:00,2024-04-19 14:15:00+00:00,143.4406824,142.2975348,142.26799999999997,96.344325012,3.0,-134.36359145439076,-0.026896484743717138,4995.581866354387,4861.218274899996,False,,atr_pct_rank_gt_80pct
SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G3_STRICT_CONSENSUS,adaptive_5x_12x_v1,base,20,SOLUSDT_2024-04-20T15:45:00+00:00,2024-04-20 15:46:00+00:00,2024-04-20 22:45:00+00:00,145.1650272,149.1061728,145.079,116.857846896,5.0,635.2601278317167,0.130679202600666,4861.218274899996,5496.478402731713,False,,default_5x
