factor,common,label,prototype,symbol_scope,quintile,event_count,label_mean
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,1.0
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9932203389830508
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.981941309255079
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9875706214689266
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,1.0
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.9525959367945824
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.9412429378531073
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.9401805869074492
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.9355932203389831
momentum_score_quantile,Existing R6 momentum family score percentile.,safe_for_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.9661399548532731
momentum_score_quantile,Existing R6 momentum family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,1,886,0.6760722347629797
momentum_score_quantile,Existing R6 momentum family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,2,885,0.6451977401129944
momentum_score_quantile,Existing R6 momentum family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,3,886,0.6580135440180587
momentum_score_quantile,Existing R6 momentum family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,4,885,0.6734463276836158
momentum_score_quantile,Existing R6 momentum family score percentile.,fast_follow_through,P4_BREAKOUT_TOP20,all_symbols,5,886,0.6997742663656885
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_10x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,1,886,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,2,885,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,3,886,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,4,885,0.0
momentum_score_quantile,Existing R6 momentum family score percentile.,hit_liquidation_20x,P4_BREAKOUT_TOP20,all_symbols,5,886,0.002257336343115124
momentum_score_quantile,Existing R6 momentum family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,1,886,-0.0007030066778822547
momentum_score_quantile,Existing R6 momentum family score percentile.,mae_pct,P4_BREAKOUT_TOP20,all_symbols,2,885,-0.0008743580479263153
