factor,prototype,failure_case_count,risk_direction,failure_in_risk_quintile_rate,all_events_in_risk_quintile_rate,lift,explainability_status
range_atr,P4_BREAKOUT_TOP20,23,high_factor_risk,0.17391304347826086,0.2005420054200542,0.8672150411280846,no_explanation
atr_pct,P4_BREAKOUT_TOP20,23,low_factor_risk,0.0,0.1991869918699187,0.0,no_explanation
atr_pct_rank,P4_BREAKOUT_TOP20,23,high_factor_risk,0.4782608695652174,0.2005420054200542,2.3848413631022325,explains_failures
volatility_ratio_short_long,P4_BREAKOUT_TOP20,23,low_factor_risk,0.2608695652173913,0.1991869918699187,1.3096716947648623,weak_explanation
atr_percentile_200,P4_BREAKOUT_TOP20,23,low_factor_risk,0.13043478260869565,0.1991869918699187,0.6548358473824312,no_explanation
prior_5m_range_pct,P4_BREAKOUT_TOP20,23,high_factor_risk,0.4782608695652174,0.2005420054200542,2.3848413631022325,explains_failures
prior_15m_range_pct,P4_BREAKOUT_TOP20,23,high_factor_risk,0.4782608695652174,0.2005420054200542,2.3848413631022325,explains_failures
prior_30m_range_pct,P4_BREAKOUT_TOP20,23,high_factor_risk,0.6521739130434783,0.2005420054200542,3.2520564042303173,explains_failures
prior_5m_return,P4_BREAKOUT_TOP20,23,high_factor_risk,0.30434782608695654,0.2005420054200542,1.5176263219741482,weak_explanation
prior_15m_return,P4_BREAKOUT_TOP20,23,high_factor_risk,0.2608695652173913,0.2005420054200542,1.3008225616921267,weak_explanation
prior_30m_return,P4_BREAKOUT_TOP20,23,high_factor_risk,0.4782608695652174,0.2005420054200542,2.3848413631022325,explains_failures
prior_5m_lower_wick_ratio,P4_BREAKOUT_TOP20,23,low_factor_risk,0.043478260869565216,0.1991869918699187,0.21827861579414373,no_explanation
prior_15m_lower_wick_ratio,P4_BREAKOUT_TOP20,23,low_factor_risk,0.043478260869565216,0.1991869918699187,0.21827861579414373,no_explanation
breakout_score_quantile,P4_BREAKOUT_TOP20,23,low_factor_risk,0.17391304347826086,0.1991869918699187,0.8731144631765749,no_explanation
momentum_score_quantile,P4_BREAKOUT_TOP20,23,low_factor_risk,0.0,0.1991869918699187,0.0,no_explanation
range_atr,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.1111111111111111,0.2007042253521127,0.5536062378167641,no_explanation
atr_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.6666666666666666,0.2007042253521127,3.3216374269005846,explains_failures
atr_pct_rank,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.5333333333333333,0.2007042253521127,2.6573099415204675,explains_failures
volatility_ratio_short_long,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,low_factor_risk,0.3111111111111111,0.1983568075117371,1.5684418145956607,weak_explanation
atr_percentile_200,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,low_factor_risk,0.13333333333333333,0.19953051643192488,0.668235294117647,no_explanation
prior_5m_range_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.5111111111111111,0.2007042253521127,2.5465886939571147,explains_failures
prior_15m_range_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.5555555555555556,0.2007042253521127,2.7680311890838207,explains_failures
prior_30m_range_pct,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.4888888888888889,0.2007042253521127,2.435867446393762,explains_failures
prior_5m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.37777777777777777,0.2007042253521127,1.8822612085769979,explains_failures
prior_15m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.4666666666666667,0.2007042253521127,2.325146198830409,explains_failures
prior_30m_return,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,high_factor_risk,0.3333333333333333,0.2007042253521127,1.6608187134502923,weak_explanation
prior_5m_lower_wick_ratio,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,low_factor_risk,0.15555555555555556,0.19953051643192488,0.779607843137255,no_explanation
prior_15m_lower_wick_ratio,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,low_factor_risk,0.15555555555555556,0.19953051643192488,0.779607843137255,no_explanation
breakout_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,low_factor_risk,0.6222222222222222,0.19953051643192488,3.11843137254902,explains_failures
momentum_score_quantile,P6_MOMENTUM_OR_BREAKOUT_TOP20,45,low_factor_risk,0.0,0.19953051643192488,0.0,no_explanation
