time,equity,symbol,prototype,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-02 14:15:00+00:00,1466.980268976683,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-09 09:30:00+00:00,1784.3551401099346,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-09 21:45:00+00:00,1655.0104246862247,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-11 06:00:00+00:00,1012.680767555927,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-11 15:30:00+00:00,910.7791427882619,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-14 11:00:00+00:00,895.9088655019874,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-14 19:30:00+00:00,824.5418802711498,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-17 16:18:00+00:00,750.8680929098452,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-26 21:00:00+00:00,838.0225569677636,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-28 17:15:00+00:00,900.1200292375343,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-01-30 22:45:00+00:00,1047.1342048129782,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-02-08 06:30:00+00:00,1118.0609126266547,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-02-10 08:45:00+00:00,1297.5271700399255,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
2024-02-13 11:00:00+00:00,1330.017326754644,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_10x_20x_v1
