time,equity,symbol,prototype,leverage_mode
2024-01-01 18:01:00+00:00,1000.0,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-03 07:45:00+00:00,1244.133847928957,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-09 08:45:00+00:00,1553.596659724068,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-09 21:15:00+00:00,1411.2092730245506,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-11 16:00:00+00:00,1220.7275340572291,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-26 23:45:00+00:00,1437.1496133420967,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-28 15:30:00+00:00,1377.220194752752,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-01-30 06:30:00+00:00,1561.956791089147,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-08 06:45:00+00:00,1763.9971005850139,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-09 22:30:00+00:00,1968.1549954944137,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-13 03:30:00+00:00,2412.815315855005,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-15 07:30:00+00:00,2864.982923295347,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-19 16:45:00+00:00,2823.3346776949193,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-20 14:40:00+00:00,2658.5413607089267,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-26 01:00:00+00:00,2605.3399141061414,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-02-29 16:30:00+00:00,4819.798677517471,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-03-05 04:45:00+00:00,6948.286546368527,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-03-08 15:32:00+00:00,6300.43837520359,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-03-10 14:30:00+00:00,6514.963308513455,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-03-12 03:15:00+00:00,7541.190386351462,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-03-26 14:15:00+00:00,8949.518847201467,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-03-27 14:00:00+00:00,8239.924545944048,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-04-01 03:00:00+00:00,8265.657713572988,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-04-05 05:15:00+00:00,7352.911589447623,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-04-07 19:45:00+00:00,7507.175290229104,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-04-08 14:30:00+00:00,8142.710810914589,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-04-21 16:00:00+00:00,8449.502147432157,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-05-05 00:30:00+00:00,10997.250245793233,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-05-06 10:45:00+00:00,10511.296628341186,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-05-14 01:45:00+00:00,11240.467690031088,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-05-16 13:00:00+00:00,13145.369039406232,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-05-17 13:30:00+00:00,12968.877843698596,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
2024-05-18 14:30:00+00:00,12620.497738842007,BTCUSDT,P4_BREAKOUT_TOP20,fixed_5x
