time,equity,symbol,prototype,leverage_mode
2024-01-01 15:31:00+00:00,1000.0,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-02 14:45:00+00:00,1295.5249626471423,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-09 00:15:00+00:00,1555.830833255331,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-11 16:00:00+00:00,1970.4095431239095,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-12 16:45:00+00:00,1947.1308536020845,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-17 03:45:00+00:00,2083.5240042931373,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-28 12:00:00+00:00,2062.702821028656,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-07 03:15:00+00:00,2309.933020721753,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-08 23:15:00+00:00,2086.9333189409613,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-10 07:45:00+00:00,2198.5706173445583,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-11 10:15:00+00:00,2143.2251711169233,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-13 13:30:00+00:00,2586.903252128301,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-15 05:45:00+00:00,3828.450194588909,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-20 01:15:00+00:00,5423.468504508593,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-20 14:40:00+00:00,4321.547269752893,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-26 02:45:00+00:00,4479.714044559685,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-27 15:45:00+00:00,4787.758533210449,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-28 17:31:00+00:00,4674.240950453211,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-02 05:00:00+00:00,4731.516628250665,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-03 06:10:00+00:00,4652.726482191495,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-04 00:49:00+00:00,4524.919649853564,ETHUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_5x_12x_v1
