time,equity,symbol,prototype,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-02 14:15:00+00:00,1175.117600866256,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-09 21:45:00+00:00,1143.174285269324,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-14 19:30:00+00:00,1036.9631719048073,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-26 21:00:00+00:00,1117.2044911179044,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-28 17:15:00+00:00,1448.3439065430955,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-01-30 22:45:00+00:00,1684.8980087226853,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-08 06:30:00+00:00,2141.3983052892104,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-10 08:45:00+00:00,3516.3099407510763,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-13 11:00:00+00:00,3538.2470708704172,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-14 18:00:00+00:00,4283.273193200891,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-19 18:45:00+00:00,4275.464483072535,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-28 17:31:00+00:00,3892.205125165126,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-02-29 22:15:00+00:00,4283.7711533482225,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-05 17:00:00+00:00,4038.0233636173334,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-07 23:30:00+00:00,5184.983703218348,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-14 13:45:00+00:00,11915.74093124234,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-15 08:45:00+00:00,10303.191336756521,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-16 17:30:00+00:00,10250.432141631214,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-18 01:07:00+00:00,9679.988028161604,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-25 21:15:00+00:00,10823.487402733344,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-03-30 19:00:00+00:00,10453.254817341385,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-04-20 22:45:00+00:00,10999.664018986083,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-05-05 00:30:00+00:00,10257.083978342494,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-05-07 13:45:00+00:00,10710.373958884285,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-05-16 12:30:00+00:00,11077.413189446488,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-05-17 12:00:00+00:00,12430.085255414633,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-05-21 02:45:00+00:00,12318.8299914815,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-06-17 01:30:00+00:00,11339.65263718149,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-06-25 08:15:00+00:00,10988.479208972025,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-06-28 00:45:00+00:00,12205.746029080608,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-01 11:00:00+00:00,13473.595127019335,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-07 00:30:00+00:00,17687.631630189848,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-10 09:15:00+00:00,17440.91336050505,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-14 12:15:00+00:00,22456.0753249595,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-17 15:45:00+00:00,22386.063448789337,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-18 14:45:00+00:00,19424.335404833888,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-19 21:45:00+00:00,20740.819312936455,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-21 06:45:00+00:00,19761.09328268532,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-22 03:45:00+00:00,20134.918201797875,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-07-27 15:00:00+00:00,20869.963514543455,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-08-14 15:15:00+00:00,18559.838949236004,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-08-20 11:30:00+00:00,18943.51877540116,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-08-23 14:48:00+00:00,18460.44874056239,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-08-24 21:30:00+00:00,19110.489772508892,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-09-03 06:45:00+00:00,18567.81003244253,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-09-09 02:15:00+00:00,18264.37860960212,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-09-11 01:15:00+00:00,18412.128844548864,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-09-20 13:00:00+00:00,19493.685678260255,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-09-25 04:45:00+00:00,19816.888863072094,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-09-27 10:45:00+00:00,19417.5059163364,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-07 07:15:00+00:00,19616.925393634323,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-12 02:45:00+00:00,19875.678061801096,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-15 03:30:00+00:00,21458.93678768859,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-16 13:46:00+00:00,17251.910678352422,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-20 12:45:00+00:00,17477.517520806534,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-21 08:15:00+00:00,18406.430770856874,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-10-29 12:45:00+00:00,18594.456684586527,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-11-07 06:30:00+00:00,22277.699858032247,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-11-08 02:59:00+00:00,17096.03093994923,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-11-17 11:45:00+00:00,17999.91442959627,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-11-18 13:00:00+00:00,17670.69583120061,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-11-22 10:00:00+00:00,18579.98639660477,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-11-29 07:45:00+00:00,17901.39050020131,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-12-07 22:30:00+00:00,17911.461369327142,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-12-12 11:00:00+00:00,17860.618040319845,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2024-12-24 20:00:00+00:00,17755.840388905264,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-02 15:15:00+00:00,18282.67369821644,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-03 20:00:00+00:00,19453.255105128235,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-07 01:00:00+00:00,19119.516893319254,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-15 09:30:00+00:00,19200.724745507356,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-16 03:15:00+00:00,21283.924940771823,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-16 22:00:00+00:00,23146.389615802527,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-19 15:00:00+00:00,78599.67673613701,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-01-22 18:45:00+00:00,69245.14783837351,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-02-09 08:45:00+00:00,68616.40163961203,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-02-10 19:45:00+00:00,65699.75697652702,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-03-03 01:45:00+00:00,95015.88587560995,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-03-15 07:15:00+00:00,145530.38114702248,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-03-24 18:15:00+00:00,264447.9912800574,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-03-25 22:00:00+00:00,261122.94182476398,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-04-01 12:39:00+00:00,213223.7771068756,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-04-02 20:30:00+00:00,206914.31859506454,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-04-13 04:45:00+00:00,216771.98796715666,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-04-14 15:00:00+00:00,214907.03812327844,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-04-19 16:15:00+00:00,224776.15191492223,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-04-21 10:15:00+00:00,226379.53910785675,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-05-10 04:00:00+00:00,297755.5728871229,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-05-11 06:30:00+00:00,282750.69072905125,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-05-12 17:45:00+00:00,241037.56217969742,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-05-14 02:00:00+00:00,247177.9637773388,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-05-21 17:15:00+00:00,236407.3666787108,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-10 05:15:00+00:00,237094.543004073,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-11 17:45:00+00:00,244161.02014703953,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-16 11:00:00+00:00,246418.08213771903,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-25 15:15:00+00:00,256207.66384062797,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-29 02:00:00+00:00,269365.95399243163,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-30 03:15:00+00:00,259177.75687803922,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-06-30 22:00:00+00:00,271567.22279616806,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-10 15:00:00+00:00,311419.6427096066,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-14 15:45:00+00:00,245462.30552806047,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-17 03:15:00+00:00,250478.71058525026,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-18 08:30:00+00:00,242093.93118918594,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-20 22:00:00+00:00,241108.98768685132,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-26 14:45:00+00:00,239729.06982919265,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-07-28 11:15:00+00:00,243009.77355957005,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-07 16:30:00+00:00,241451.08478530162,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-08 15:00:00+00:00,238795.3999433536,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-09 13:45:00+00:00,237720.05544864846,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-10 06:15:00+00:00,234696.50454890096,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-13 14:15:00+00:00,242454.1172016278,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-23 10:45:00+00:00,244792.9298493051,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-24 07:45:00+00:00,245233.37648195747,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-08-27 20:00:00+00:00,251637.30899473076,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-09-03 18:30:00+00:00,253664.4102826705,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-09-07 17:00:00+00:00,250469.13620813,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-09-08 23:30:00+00:00,259412.00452673782,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-09-11 02:45:00+00:00,264708.555037772,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-09-11 12:30:00+00:00,256592.47290156825,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-09-13 11:00:00+00:00,282483.30656248936,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-10-01 17:45:00+00:00,313192.3369224104,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-10-26 20:15:00+00:00,380331.7451528875,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-11-10 14:45:00+00:00,549871.5792339881,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-11-25 02:15:00+00:00,594320.6818325255,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-11-27 00:00:00+00:00,610176.5007004357,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-04 05:30:00+00:00,611183.0341383596,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-11 00:30:00+00:00,556359.9632736366,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-12 15:00:00+00:00,546817.2446868848,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-15 14:45:00+00:00,526189.3613316071,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-22 02:06:00+00:00,511450.38250378205,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-26 14:45:00+00:00,493480.64236017474,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-28 05:15:00+00:00,488762.2073872506,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2025-12-29 09:30:00+00:00,491588.3823338558,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-01-02 14:15:00+00:00,500950.19496408047,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-01-04 08:00:00+00:00,510772.83732849424,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-01-06 16:30:00+00:00,504357.13991073746,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-01-11 22:00:00+00:00,501121.4678339004,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-01-15 00:30:00+00:00,514873.5141320204,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-01-28 04:15:00+00:00,525027.9756473877,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-02-25 23:30:00+00:00,553271.0407856571,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-03-04 23:15:00+00:00,599710.8025592474,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-03-09 23:45:00+00:00,590933.9238947985,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-03-10 21:30:00+00:00,549659.5679565483,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-03-13 06:15:00+00:00,552109.3175439053,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-03-16 14:30:00+00:00,666243.9616951118,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-04-05 02:00:00+00:00,662016.4569875079,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-04-14 04:30:00+00:00,712540.1670415901,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-04-14 16:45:00+00:00,577725.3323046531,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-04-16 13:53:00+00:00,564568.8655456702,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-04-17 00:15:00+00:00,567171.5710376182,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-04-17 20:30:00+00:00,566441.5675623028,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-05-07 00:30:00+00:00,584323.2695942159,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-05-09 14:45:00+00:00,604599.1201553612,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-05-10 20:49:00+00:00,587265.6131315489,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-05-12 01:00:00+00:00,590846.7615717432,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-05-22 00:30:00+00:00,589600.2569426316,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-06-08 05:00:00+00:00,598353.1075914666,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-06-12 19:45:00+00:00,587963.8123100813,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
2026-06-14 04:30:00+00:00,590271.8962734503,SOLUSDT,P4_BREAKOUT_TOP20,adaptive_5x_12x_v1
