time,equity,symbol,prototype,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-02 14:15:00+00:00,1116.7450672441707,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-09 09:30:00+00:00,1177.145815178659,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-09 21:45:00+00:00,1155.8135160396107,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-11 06:00:00+00:00,1043.667198350246,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-11 15:30:00+00:00,973.6540960736797,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-14 11:00:00+00:00,963.05620560874,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-14 19:30:00+00:00,911.9122997579776,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-17 16:18:00+00:00,884.7521540366412,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-26 21:00:00+00:00,918.9836879715062,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-28 17:15:00+00:00,941.6825853562685,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-01-30 22:45:00+00:00,992.9500772621993,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-08 06:30:00+00:00,1037.7878065490083,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-10 08:45:00+00:00,1148.8419190916047,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-13 11:00:00+00:00,1177.6089883704512,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-14 18:00:00+00:00,1342.9167317537342,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-19 18:45:00+00:00,1341.4477924152727,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-27 12:45:00+00:00,1459.8125434000688,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-28 17:31:00+00:00,1372.5726157830316,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-02-29 22:15:00+00:00,1532.1192168502002,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-03-01 07:30:00+00:00,1527.9923655642317,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-03-05 17:00:00+00:00,1469.5546428006353,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-03-07 23:30:00+00:00,1747.8295544575676,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-03-08 15:32:00+00:00,1631.6616790405071,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
2024-03-12 08:15:00+00:00,1558.228899511514,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,adaptive_3x_8x_v1
