time,equity,symbol,prototype,leverage_mode
2024-01-01 16:01:00+00:00,1000.0,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-02 14:15:00+00:00,1175.117600866256,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-09 09:30:00+00:00,1270.4544652301945,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-09 21:45:00+00:00,1235.9196000350314,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-11 06:00:00+00:00,1056.041319264921,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-11 15:30:00+00:00,949.7765123262022,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-14 11:00:00+00:00,934.2695255774239,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-14 19:30:00+00:00,859.84677790638,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-17 16:18:00+00:00,783.0184563929288,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-26 21:00:00+00:00,873.904664714712,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-28 17:15:00+00:00,938.6610012027196,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-01-30 22:45:00+00:00,1091.9699697338738,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-08 06:30:00+00:00,1165.9335883690385,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-10 08:45:00+00:00,1353.084158730573,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-13 11:00:00+00:00,1386.9654657123813,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-14 18:00:00+00:00,1459.9765840732998,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-19 18:45:00+00:00,1458.3795996982692,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-27 12:45:00+00:00,1651.4032184357407,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-28 17:31:00+00:00,1503.368837691904,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-02-29 22:15:00+00:00,1765.4941913299792,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-01 07:30:00+00:00,1758.3610010138507,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-05 17:00:00+00:00,1657.4888222536933,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-07 23:30:00+00:00,2128.2820226065423,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-08 15:32:00+00:00,1986.8277256334854,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-12 08:15:00+00:00,1897.4107317721541,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-14 13:45:00+00:00,2513.17983194689,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-15 08:45:00+00:00,2268.1106656274424,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-15 20:30:00+00:00,2043.140849432076,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-16 17:30:00+00:00,1964.254790689182,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-18 14:30:00+00:00,2298.8748076607953,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-21 04:30:00+00:00,2214.5376949670936,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-25 21:15:00+00:00,2606.9435215745075,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-03-30 19:00:00+00:00,2553.439023215525,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-04-15 11:30:00+00:00,2524.5726438167085,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-04-19 00:15:00+00:00,2411.0394721261728,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-04-19 14:15:00+00:00,2346.190985747631,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-04-20 22:45:00+00:00,2530.1500060474536,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-04-21 13:45:00+00:00,2374.1094733291247,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-04-22 15:00:00+00:00,2223.611022287819,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-02 20:30:00+00:00,2306.5956369401447,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-05 00:30:00+00:00,2213.1655896839256,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-07 13:45:00+00:00,2359.8747990267307,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-10 13:15:00+00:00,2442.486993163678,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-16 12:30:00+00:00,2947.6635181894153,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-17 12:00:00+00:00,3163.628493011887,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-18 14:30:00+00:00,3171.9217888926532,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-05-21 02:45:00+00:00,3545.2733316881468,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-06-17 01:30:00+00:00,3474.8232288051354,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-06-25 08:15:00+00:00,3410.256934330809,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-06-25 22:45:00+00:00,3329.674217422687,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-06-28 00:45:00+00:00,3882.949407222881,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-01 11:00:00+00:00,3983.7829386506205,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-07 00:30:00+00:00,4336.71778859322,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-09 11:00:00+00:00,4240.847204187682,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-10 09:15:00+00:00,4205.354793238928,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-14 12:15:00+00:00,4507.668883248796,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-16 05:30:00+00:00,4367.964539099975,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-17 15:45:00+00:00,4354.346425159681,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-18 14:45:00+00:00,4210.323895807942,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-19 21:45:00+00:00,4638.355811022258,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-21 06:45:00+00:00,4506.895683327378,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-22 03:45:00+00:00,4634.78257881697,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-24 21:15:00+00:00,4237.682504862432,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-27 15:00:00+00:00,4469.733757632728,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-07-29 10:45:00+00:00,4415.517094428417,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-06 13:46:00+00:00,3944.7456833805672,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-06 23:15:00+00:00,3964.965345319602,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-07 14:15:00+00:00,4052.7613263612684,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-09 04:15:00+00:00,4249.35200346255,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-14 15:15:00+00:00,3967.132081717219,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-20 11:30:00+00:00,4090.1483873800007,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-23 14:48:00+00:00,3933.6968737451834,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-08-24 21:30:00+00:00,4598.099606681204,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-03 06:45:00+00:00,4402.241557327919,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-09 02:15:00+00:00,4294.33073609268,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-10 13:00:00+00:00,4255.915278292971,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-11 01:15:00+00:00,4307.557808465115,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-19 21:30:00+00:00,4891.767704413651,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-20 13:00:00+00:00,5322.792669069244,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-25 04:45:00+00:00,5455.169652913929,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-09-27 10:45:00+00:00,5290.257157366976,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-07 07:15:00+00:00,5371.754260159627,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-12 02:45:00+00:00,5478.03664536997,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-15 03:30:00+00:00,6132.591621497979,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-16 13:46:00+00:00,5832.017863757798,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-20 12:45:00+00:00,6060.8174141222735,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-21 08:15:00+00:00,7027.197266766393,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-24 08:45:00+00:00,7214.217122202087,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-10-29 12:45:00+00:00,7324.75944703949,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-05 19:45:00+00:00,6687.300514150714,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-07 06:30:00+00:00,8674.259938564253,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-08 14:45:00+00:00,9272.649309739,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-10 12:15:00+00:00,9030.695757077909,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-10 20:15:00+00:00,8611.903962516706,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-12 09:45:00+00:00,8858.65067258061,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-13 20:02:00+00:00,7604.80124335053,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-14 11:09:00+00:00,6984.942192506633,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-16 08:30:00+00:00,6955.6113014763105,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-17 11:45:00+00:00,8058.86074654759,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-18 13:00:00+00:00,7837.765792178102,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-22 10:00:00+00:00,9047.702269511059,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-11-29 07:45:00+00:00,8552.029116077607,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-05 15:44:00+00:00,7945.329067361061,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-06 06:30:00+00:00,7706.010319595027,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-07 22:30:00+00:00,7719.0159385848065,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-11 23:30:00+00:00,7595.379424293064,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-12 11:00:00+00:00,7530.69887695382,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-17 14:32:00+00:00,7018.563128222449,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-17 22:00:00+00:00,6715.2859142847965,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-24 01:30:00+00:00,6314.681823409679,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
2024-12-24 20:00:00+00:00,6203.548345935341,SOLUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_3x
