symbol,prototype,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,1,BTCUSDT_2024-01-01T18:00:00+00:00,2024-01-01 18:01:00+00:00,2024-01-03 07:45:00+00:00,42883.575,45021.39392,42861.8,28803.467875000002,3.0,146.48030875737425,0.14648030875737425,1000.0,1146.4803087573741,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,2,BTCUSDT_2024-01-08T11:45:00+00:00,2024-01-08 11:46:00+00:00,2024-01-09 08:45:00+00:00,44293.957019999994,46542.88956,44272.1,29750.7744651,3.0,171.10362551732956,0.1492425331777239,1146.4803087573741,1317.5839342747038,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,3,BTCUSDT_2024-01-09T21:00:00+00:00,2024-01-09 21:01:00+00:00,2024-01-09 21:15:00+00:00,46700.03814,45890.3201,46246.0,31366.858950700003,3.0,-72.45406920170558,-0.05499009764534636,1317.5839342747038,1245.1298650729982,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,4,BTCUSDT_2024-01-11T14:00:00+00:00,2024-01-11 14:01:00+00:00,2024-01-11 16:00:00+00:00,47330.064119999995,46099.07834000001,46488.1,31790.0264006,3.0,-100.83883650973921,-0.08098660175003299,1245.1298650729982,1144.291028563259,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,5,BTCUSDT_2024-01-26T10:30:00+00:00,2024-01-26 10:31:00+00:00,2024-01-26 23:45:00+00:00,40327.0638,41798.03872,40281.200000000004,27086.344519000006,3.0,121.7224172304466,0.10637365337319649,1144.291028563259,1266.0134457937056,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,6,BTCUSDT_2024-01-28T04:45:00+00:00,2024-01-28 04:46:00+00:00,2024-01-28 15:30:00+00:00,42504.29916,42192.15988,42220.1,28548.720935800004,3.0,-31.67580425656745,-0.025020116778229667,1266.0134457937056,1234.337641537138,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,7,BTCUSDT_2024-01-29T15:45:00+00:00,2024-01-29 15:46:00+00:00,2024-01-30 06:30:00+00:00,42117.82188,43290.44018,42109.3,28289.137029400004,3.0,99.34242998886663,0.08048237908807034,1234.337641537138,1333.6800715260047,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,8,BTCUSDT_2024-02-07T17:15:00+00:00,2024-02-07 17:16:00+00:00,2024-02-08 06:45:00+00:00,43277.55378,44441.01002,43264.4,29068.090288900006,3.0,103.50752439125763,0.07761046041036192,1333.6800715260047,1437.1875959172623,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,9,BTCUSDT_2024-02-09T02:45:00+00:00,2024-02-09 02:46:00+00:00,2024-02-09 22:30:00+00:00,46095.7173,47209.35624,45830.1,30960.956786500003,3.0,99.80057021921233,0.06944157499182714,1437.1875959172623,1536.9881661364748,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,10,BTCUSDT_2024-02-10T20:30:00+00:00,2024-02-10 20:31:00+00:00,2024-02-13 03:30:00+00:00,47591.21634,49790.339940000005,47539.4,31965.4336417,3.0,208.34872819749594,0.13555649470042563,1536.9881661364748,1745.3368943339708,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,11,BTCUSDT_2024-02-14T08:45:00+00:00,2024-02-14 08:46:00+00:00,2024-02-15 07:30:00+00:00,49823.36268,51741.549620000005,49813.4,33464.691933400005,3.0,196.2482919855041,0.11244149632234378,1745.3368943339708,1941.5851863194748,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,12,BTCUSDT_2024-02-18T22:00:00+00:00,2024-02-18 22:01:00+00:00,2024-02-19 16:45:00+00:00,51897.77748,51798.73818,51885.0,34858.007207400005,3.0,-16.934889776091705,-0.008722197663752252,1941.5851863194748,1924.650296543383,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,13,BTCUSDT_2024-02-20T13:30:00+00:00,2024-02-20 13:31:00+00:00,2024-02-20 14:40:00+00:00,52369.77186,51810.51482705658,51777.0,35175.030099300006,3.0,-67.40316879423058,-0.035020995198600365,1924.650296543383,1857.2471277491525,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,14,BTCUSDT_2024-02-25T20:00:00+00:00,2024-02-25 20:01:00+00:00,2024-02-26 01:00:00+00:00,51720.04194,51564.685,51652.50000000001,34738.62816970001,3.0,-22.299799887734324,-0.012006910418410526,1857.2471277491525,1834.9473278614182,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,15,BTCUSDT_2024-02-26T16:00:00+00:00,2024-02-26 16:01:00+00:00,2024-02-29 16:30:00+00:00,52872.77243999999,61918.21388,52777.2,35512.8788222,3.0,935.7892615655163,0.50998153862877,1834.9473278614182,2770.7365894269346,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,16,BTCUSDT_2024-03-03T12:00:00+00:00,2024-03-03 12:01:00+00:00,2024-03-05 04:45:00+00:00,61904.3784,67436.60998000001,61892.0,41579.107492,3.0,734.1567081488041,0.26496806334832723,2770.7365894269346,3504.893297575739,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,17,BTCUSDT_2024-03-08T15:15:00+00:00,2024-03-08 15:16:00+00:00,2024-03-08 15:32:00+00:00,68902.67778,67686.09499587257,67219.4,46279.6319089,3.0,-196.07470398434427,-0.05594313074237239,3504.893297575739,3308.818593591395,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,18,BTCUSDT_2024-03-10T01:00:00+00:00,2024-03-10 01:01:00+00:00,2024-03-10 14:30:00+00:00,68396.67659999999,68931.11102,68370.3,45939.767783,3.0,67.5975904392555,0.020429524474439385,3308.818593591395,3376.41618403065,False,,fixed_3x
BTCUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,19,BTCUSDT_2024-03-11T07:00:00+00:00,2024-03-11 07:01:00+00:00,2024-03-12 03:15:00+00:00,69463.89,71722.85256,69430.1,46656.579450000005,3.0,319.10875472543637,0.0945110843369123,3376.41618403065,3695.5249387560866,False,,fixed_3x
