symbol,prototype,leverage_mode,stress_case,trade_id,event_id,entry_time,exit_time,entry_price,exit_price,min_trade_price,liquidation_price,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,reason
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,1,ETHUSDT_2024-01-01T15:30:00+00:00,2024-01-01 15:31:00+00:00,2024-01-02 14:45:00+00:00,2309.4618,2368.67617,2307.79,1551.1885090000003,3.0,73.88124066178555,0.07388124066178556,1000.0,1073.8812406617856,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,2,ETHUSDT_2024-01-08T17:45:00+00:00,2024-01-08 17:46:00+00:00,2024-01-09 00:15:00+00:00,2280.7460579999997,2321.23566,2278.09,1531.90110229,3.0,53.942918766514886,0.050231735804670774,1073.8812406617856,1127.8241594283004,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,3,ETHUSDT_2024-01-10T09:15:00+00:00,2024-01-10 09:16:00+00:00,2024-01-10 12:48:00+00:00,2380.315968,2340.5327678064,2336.28,1598.7788918400001,3.0,-59.90456550977409,-0.05311516428247113,1127.8241594283004,1067.9195939185263,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,4,ETHUSDT_2024-01-10T23:00:00+00:00,2024-01-10 23:01:00+00:00,2024-01-11 16:00:00+00:00,2549.5898159999997,2582.423412,2543.0,1712.47449308,3.0,38.033590615021,0.03561465753752492,1067.9195939185263,1105.9531845335473,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,5,ETHUSDT_2024-01-12T11:15:00+00:00,2024-01-12 11:16:00+00:00,2024-01-12 16:45:00+00:00,2625.0749100000003,2621.495596,2619.96,1763.1753145500004,3.0,-7.839529877919741,-0.007088482575531606,1105.9531845335473,1098.1136546556277,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,6,ETHUSDT_2024-01-16T15:15:00+00:00,2024-01-16 15:16:00+00:00,2024-01-17 03:45:00+00:00,2533.046508,2571.08568,2532.39,1701.36290454,3.0,46.15257805553394,0.042028962903669156,1098.1136546556277,1144.2662327111616,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,7,ETHUSDT_2024-01-28T01:15:00+00:00,2024-01-28 01:16:00+00:00,2024-01-28 12:00:00+00:00,2273.744658,2274.125084,2272.68,1527.1984952900002,3.0,-2.85873559478374,-0.0024983133409524887,1144.2662327111616,1141.407497116378,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,8,ETHUSDT_2024-02-06T16:15:00+00:00,2024-02-06 16:16:00+00:00,2024-02-07 03:15:00+00:00,2342.088324,2367.836338,2340.74,1573.1026576200002,3.0,34.20153409478465,0.029964350314143292,1141.407497116378,1175.6090312111626,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,9,ETHUSDT_2024-02-08T15:15:00+00:00,2024-02-08 15:16:00+00:00,2024-02-08 23:15:00+00:00,2434.626828,2417.46641,2412.0,1635.25768614,3.0,-28.373167210816046,-0.024134866658505335,1175.6090312111626,1147.2358640003465,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,10,ETHUSDT_2024-02-09T08:45:00+00:00,2024-02-09 08:46:00+00:00,2024-02-10 07:45:00+00:00,2464.7128439999997,2493.561188,2461.1,1655.46546022,3.0,36.821774225265976,0.032096080135492394,1147.2358640003465,1184.0576382256124,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,11,ETHUSDT_2024-02-11T03:45:00+00:00,2024-02-11 03:46:00+00:00,2024-02-11 10:15:00+00:00,2519.5038,2516.736552,2513.5,1692.2667190000002,3.0,-7.451682223651541,-0.00629334416086228,1184.0576382256124,1176.605956001961,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,12,ETHUSDT_2024-02-12T15:30:00+00:00,2024-02-12 15:31:00+00:00,2024-02-13 13:30:00+00:00,2530.7860560000004,2638.152264,2530.06,1699.8446342800005,3.0,146.14449653746476,0.12420853030019949,1176.605956001961,1322.7504525394256,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,13,ETHUSDT_2024-02-14T08:45:00+00:00,2024-02-14 08:46:00+00:00,2024-02-15 05:45:00+00:00,2663.23254,2772.465396,2661.92,1788.8045227000002,3.0,158.70875521123463,0.11998389787472342,1322.7504525394256,1481.4592077506602,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,14,ETHUSDT_2024-02-18T18:45:00+00:00,2024-02-18 18:46:00+00:00,2024-02-20 01:15:00+00:00,2815.993086,2916.626558,2814.9,1891.40868943,3.0,154.30229215866424,0.10415561316260986,1481.4592077506602,1635.7614999093244,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,15,ETHUSDT_2024-02-20T13:30:00+00:00,2024-02-20 13:31:00+00:00,2024-02-20 14:40:00+00:00,2970.804042,2923.451377620171,2918.9200000000005,1995.3900482100005,3.0,-83.08706551201941,-0.050794119751947454,1635.7614999093244,1552.674434397305,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,16,ETHUSDT_2024-02-24T17:30:00+00:00,2024-02-24 17:31:00+00:00,2024-02-26 02:45:00+00:00,2982.966474,3095.1808400000004,2980.09,2003.5591483700002,3.0,170.48165317948082,0.10979871208200574,1552.674434397305,1723.156087576786,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,17,ETHUSDT_2024-02-26T15:45:00+00:00,2024-02-26 15:46:00+00:00,2024-02-27 15:45:00+00:00,3120.624,3231.093652,3118.75,2096.01912,3.0,177.73748410604716,0.10314647952524902,1723.156087576786,1900.893571682833,False,,fixed_3x
ETHUSDT,P4_BREAKOUT_TOP20,fixed_3x,base,18,ETHUSDT_2024-02-28T07:45:00+00:00,2024-02-28 07:46:00+00:00,2024-02-28 17:31:00+00:00,3285.667002,3249.983303885315,3152.94,2206.8730030100005,3.0,-67.60517740381312,-0.03556494609214931,1900.893571682833,1833.28839427902,False,,fixed_3x
