time,equity,symbol,prototype,gate,leverage_mode
2020-01-09 08:09:00+00:00,1000.0,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-11 21:45:00+00:00,1141.6333935345126,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-15 04:15:00+00:00,1496.8204220793978,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-18 04:15:00+00:00,1615.4540591468678,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-27 05:00:00+00:00,1685.1092961996665,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-28 09:30:00+00:00,1888.260639713149,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-29 10:00:00+00:00,1863.7397657070699,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-31 05:30:00+00:00,2291.4804039260894,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-01 11:00:00+00:00,2321.9226491214827,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-06 13:45:00+00:00,2452.9591835368915,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-09 13:45:00+00:00,2574.5772950796095,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-12 09:15:00+00:00,2750.5445785357565,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-13 07:45:00+00:00,2803.667145597226,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-03-05 22:00:00+00:00,2664.224343652018,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-03-07 12:30:00+00:00,2479.570001650801,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-03-16 00:06:00+00:00,2256.197287334935,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-03-20 01:30:00+00:00,2446.953572300641,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-04-07 15:00:00+00:00,2945.055885222299,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-04-19 05:45:00+00:00,2539.210958684362,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-04-30 07:15:00+00:00,2943.7674243677657,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-05-03 05:00:00+00:00,3472.424508344802,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-05-17 18:30:00+00:00,3516.162433716885,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-05-18 08:45:00+00:00,3339.69665018652,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-05-28 07:30:00+00:00,3224.930888858565,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-05-29 08:15:00+00:00,3178.9014752639973,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-05-31 03:00:00+00:00,3407.2927769394687,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-06-02 14:45:00+00:00,2288.8829260831108,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-06-10 18:53:00+00:00,2263.59895081367,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-06-17 16:15:00+00:00,2257.86233980243,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-06-23 00:45:00+00:00,2272.69514631369,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-05 05:30:00+00:00,2264.064884409658,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-07 06:15:00+00:00,2266.10547238479,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-09 00:00:00+00:00,2340.7187152619354,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-18 22:15:00+00:00,2335.2444200415744,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-21 17:00:00+00:00,2360.1577186754494,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-23 05:00:00+00:00,2393.790449701279,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-26 01:30:00+00:00,2532.9180607221597,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-28 07:30:00+00:00,2727.6632997282327,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-07-30 23:45:00+00:00,2800.7784924922144,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-08-01 13:00:00+00:00,2883.2513085784376,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-08-02 04:30:00+00:00,2552.829435129438,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-08-16 11:00:00+00:00,2678.646922528246,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-08-31 04:15:00+00:00,2828.6572248545926,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-09-01 22:45:00+00:00,2910.8319865809235,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-09-13 01:15:00+00:00,3057.930193807708,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-09-15 08:30:00+00:00,2987.6489152487366,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-09-26 07:15:00+00:00,3070.762985764779,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-01 15:45:00+00:00,3118.3283425598834,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-06 19:07:00+00:00,2982.7317990376437,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-10 09:45:00+00:00,3218.1639604265856,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-12 04:00:00+00:00,3231.734465480346,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-23 12:00:00+00:00,3085.164787685861,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-24 21:45:00+00:00,3312.333268664828,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-10-28 06:45:00+00:00,3201.6790493451253,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-02 08:15:00+00:00,3096.8240192291655,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-06 09:15:00+00:00,3195.6735013454677,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-14 01:00:00+00:00,3802.8710157761325,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-17 09:30:00+00:00,4342.691232628608,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-18 05:30:00+00:00,4021.982967324033,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-20 22:30:00+00:00,3997.0541005239756,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-23 13:15:00+00:00,4012.948375124074,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-11-29 00:15:00+00:00,3850.4599589827712,LTCUSDT,P4_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
