time,equity,symbol,prototype,gate,leverage_mode
2020-01-06 08:21:00+00:00,1000.0,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-11 21:45:00+00:00,1011.3383360921812,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-15 04:45:00+00:00,1361.7377564814733,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-17 19:48:00+00:00,1273.2120336261646,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-19 09:45:00+00:00,1341.8901176892778,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-27 05:00:00+00:00,1303.3843950709204,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-29 09:15:00+00:00,1502.4856901135277,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-01-31 11:11:00+00:00,1252.771158490768,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-02 22:30:00+00:00,1325.0592374191083,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-05 10:15:00+00:00,1524.1326242520126,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-06 13:45:00+00:00,1485.0525779440518,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
2020-02-12 09:15:00+00:00,1495.9304256080686,XRPUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1
