symbol,prototype,gate,leverage_mode,event_id,base_leverage,final_leverage,equity_drawdown_before_entry,recent_3_loss_count,gate_high_risk,reason
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-01T18:45:00+00:00,3.0,8.0,0.0,0,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-02T02:45:00+00:00,3.0,2.0,0.0,0,False,atr_pct_rank_gt_80pct
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-05T15:30:00+00:00,3.0,3.0,0.0,0,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-06T03:45:00+00:00,3.0,3.0,0.05404508375999906,1,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-11T18:00:00+00:00,3.0,3.0,0.08168434057339169,2,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-12T11:00:00+00:00,3.0,3.0,0.005040859872495251,2,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-02-23T10:15:00+00:00,3.0,3.0,0.0,1,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-03-02T17:00:00+00:00,3.0,3.0,0.052941562824214916,1,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-03-19T12:00:00+00:00,3.0,2.0,0.0771282718649321,2,False,atr_pct_rank_gt_80pct
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-03-26T23:15:00+00:00,3.0,8.0,0.0,2,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-04-02T14:30:00+00:00,3.0,8.0,0.011197760447909877,2,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-04-06T09:30:00+00:00,3.0,3.0,0.03228698879411718,2,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-04-17T23:15:00+00:00,3.0,8.0,0.0,2,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-04-22T13:15:00+00:00,3.0,8.0,0.0,1,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-04-26T13:00:00+00:00,3.0,8.0,0.0,0,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-04-27T22:15:00+00:00,3.0,8.0,0.0,0,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-06T10:15:00+00:00,3.0,8.0,0.0,0,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-08T00:15:00+00:00,3.0,8.0,0.0,0,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-18T02:15:00+00:00,3.0,3.0,0.05306925064346868,1,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-19T11:00:00+00:00,3.0,8.0,0.0,1,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-22T20:30:00+00:00,3.0,3.0,0.0,1,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-27T16:00:00+00:00,3.0,8.0,0.04291564033802475,1,False,all_raise_conditions_met
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-28T17:00:00+00:00,3.0,2.0,0.1695805185792829,2,False,drawdown_gt_10pct
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-30T03:45:00+00:00,3.0,3.0,0.04581180823668296,2,False,default_3x
ADAUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,ADAUSDT_2020-05-30T18:00:00+00:00,3.0,2.0,0.0,1,False,atr_pct_rank_gt_80pct
