symbol,prototype,gate,leverage_mode,event_id,signal_time,entry_time,exit_time,entry_price,exit_price,quantity,atr,stop_loss,liquidation_price,min_low_1m,max_high_1m,mae_atr,mfe_atr,leverage,net_pnl,trade_return,equity_before,equity_after,liquidation,risk_event,exit_reason,reason
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-07-18T01:00:00+00:00,2020-07-18 01:00:00+00:00,2020-07-18 01:01:00+00:00,2020-07-18 23:45:00+00:00,0.0030816161999999998,0.0034353128,649010.0876286931,4.2642857142857074e-05,0.0029536876285714284,0.001556216181,0.003071,0.003678,-0.2489561139028404,13.985549748743749,2.0,227.43788502929104,0.22743788502929105,1000.0,1227.437885029291,False,,donchian20_exit,atr_pct_rank_gt_80pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-07-19T01:15:00+00:00,2020-07-19 01:15:00+00:00,2020-07-19 01:16:00+00:00,2020-07-19 10:15:00+00:00,0.0035417082,0.00339932,693133.2654843169,5.864285714285715e-05,0.0033657796285714286,0.0017885626409999999,0.003446,0.003779,-1.6320521315468905,4.0463887941534695,2.0,-101.09952680347628,-0.08236630793016764,1227.437885029291,1126.3383582258148,False,,donchian20_exit,atr_pct_rank_gt_80pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-07-23T01:15:00+00:00,2020-07-23 01:15:00+00:00,2020-07-23 01:16:00+00:00,2020-07-23 12:15:00+00:00,0.0033036605999999997,0.0032773444000000003,1022809.3874647549,2.5071428571428523e-05,0.003228446314285714,0.0022189587030000003,0.003265,0.003349,-1.5420182336182262,1.808409116809145,3.0,-30.2820132488756,-0.026885360893306707,1126.3383582258148,1096.0563449769393,False,,donchian20_exit,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-07-29T01:30:00+00:00,2020-07-29 01:30:00+00:00,2020-07-29 01:31:00+00:00,2020-07-29 09:15:00+00:00,0.0032066412,0.0031903618,683616.455110063,1.750000000000003e-05,0.0031541412,0.001619353806,0.003205,0.003306,-0.09378285714286357,5.677645714285683,2.0,-13.315413976413154,-0.01214847579454805,1096.0563449769393,1082.7409310005262,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-08-01T07:30:00+00:00,2020-08-01 07:30:00+00:00,2020-08-01 07:31:00+00:00,2020-08-02 02:45:00+00:00,0.0033076614,0.003589282,654686.6804446949,2.1571428571428614e-05,0.003242947114285714,0.001670369007,0.003307,0.003872,-0.030660927152314516,26.161392052980066,2.0,182.11558726896277,0.16819867251224685,1082.7409310005262,1264.856518269489,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-08-04T09:45:00+00:00,2020-08-04 09:45:00+00:00,2020-08-04 09:46:00+00:00,2020-08-04 13:18:00+00:00,0.0034836966,0.003414227903537143,1089236.5181309036,2.2928571428571468e-05,0.0034149108857142855,0.002339882883,0.003405,0.003547,-3.4322504672897134,2.7608959501557577,3.0,-79.42457668857637,-0.06279334892248564,1264.856518269489,1185.4319415809127,False,,atr_stop,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-08-06T16:15:00+00:00,2020-08-06 16:15:00+00:00,2020-08-06 16:16:00+00:00,2020-08-06 21:30:00+00:00,0.0035527104,0.003544291,1001009.2082773587,2.3857142857142926e-05,0.003481138971428571,0.002386237152,0.003549,0.003656,-0.1555257485029816,4.329504191616746,3.0,-11.97997880444871,-0.010106003039256729,1185.4319415809127,1173.451962776464,False,,donchian20_exit,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-08-14T22:45:00+00:00,2020-08-14 22:45:00+00:00,2020-08-14 22:46:00+00:00,2020-08-15 04:00:00+00:00,0.0035547108,0.0034973003999999998,990335.3849009016,2.1785714285714295e-05,0.0034893536571428568,0.0023875807540000003,0.003509,0.003637,-2.0982006557376907,3.7772091803278682,3.0,-60.34747869435351,-0.051427310711183644,1173.451962776464,1113.1044840821105,False,,donchian20_exit,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-08-17T07:00:00+00:00,2020-08-17 07:00:00+00:00,2020-08-17 07:01:00+00:00,2020-08-17 23:30:00+00:00,0.003580716,0.0035832832,621721.7361455701,1.742857142857142e-05,0.0035284302857142855,0.0018082615799999999,0.003548,0.00374,-1.8771475409835956,9.13924590163934,2.0,-0.6309229691516669,-0.0005668137880802262,1113.1044840821105,1112.4735611129588,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-08-30T02:45:00+00:00,2020-08-30 02:45:00+00:00,2020-08-30 02:46:00+00:00,2020-08-30 09:00:00+00:00,0.00330066,0.0032732195108571426,674091.5823580489,8.928571428571436e-06,0.0032738742857142855,0.0016668333,0.003265,0.003348,-3.993919999999968,5.302079999999995,2.0,-20.71310116784003,-0.018618960388701637,1112.4735611129588,1091.7604599451188,False,,atr_stop,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-09-10T00:00:00+00:00,2020-09-10 00:00:00+00:00,2020-09-10 00:01:00+00:00,2020-09-10 06:30:00+00:00,0.002780556,0.0027724454,785282.1233919539,1.3071428571428633e-05,0.002741341714285714,0.00140418078,0.002778,0.002845,-0.1955409836065561,4.93014207650271,2.0,-8.549445555278169,-0.007830880370688582,1091.7604599451188,1083.2110143898406,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-09-15T06:45:00+00:00,2020-09-15 06:45:00+00:00,2020-09-15 06:46:00+00:00,2020-09-15 08:30:00+00:00,0.0028115622,0.002784443,770540.316973845,1.19285714285714e-05,0.002775776485714286,0.0014198389110000001,0.002805,0.002872,-0.5501245508982141,5.066641916167653,2.0,-23.052410774374735,-0.021281551302688585,1083.2110143898406,1060.1586036154658,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-09-25T02:00:00+00:00,2020-09-25 02:00:00+00:00,2020-09-25 02:01:00+00:00,2020-09-25 08:30:00+00:00,0.0026175233999999998,0.0026484702,810047.087728397,1.3714285714285675e-05,0.0025763805428571426,0.001321849317,0.002616,0.002709,-0.11108124999999158,6.670168750000044,2.0,22.935513824675194,0.021634040177062244,1060.1586036154658,1083.094117440141,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-10-04T12:45:00+00:00,2020-10-04 12:45:00+00:00,2020-10-04 12:46:00+00:00,2020-10-05 04:45:00+00:00,0.0026275254,0.0026224754,824421.4251478908,1.071428571428571e-05,0.0025953825428571427,0.001326900327,0.002609,0.002678,-1.7290373333333284,4.71096266666665,2.0,-6.327434767778577,-0.0058419990154994755,1083.094117440141,1076.7666826723623,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-10-10T02:00:00+00:00,2020-10-10 02:00:00+00:00,2020-10-10 02:01:00+00:00,2020-10-10 10:00:00+00:00,0.002660532,0.002654469,809437.1221036712,1.1071428571428554e-05,0.0026273177142857145,0.00134356866,0.00266,0.00272,-0.04805161290324739,5.371303225806454,2.0,-7.058696828023757,-0.0065554562019928065,1076.7666826723623,1069.7079858443385,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-10-22T01:45:00+00:00,2020-10-22 01:45:00+00:00,2020-10-22 01:46:00+00:00,2020-10-23 07:15:00+00:00,0.0026625323999999997,0.0026474704000000004,803526.737060055,1.3642857142857126e-05,0.002621603828571428,0.001344578862,0.002639,0.002698,-1.72488795811517,2.599719371727753,2.0,-14.236084325429848,-0.0133083837026729,1069.7079858443385,1055.4719015189087,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-10-26T03:00:00+00:00,2020-10-26 03:00:00+00:00,2020-10-26 03:01:00+00:00,2020-10-26 17:15:00+00:00,0.0026975394000000002,0.0026774643999999998,782544.1967734807,1.4428571428571485e-05,0.0026542536857142858,0.0013622573970000001,0.002687,0.002912,-0.7304534653465401,14.86360594059398,2.0,-17.8126637658907,-0.01687649262880125,1055.4719015189087,1037.659237753018,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-05T14:00:00+00:00,2020-11-05 14:00:00+00:00,2020-11-05 14:01:00+00:00,2020-11-06 20:15:00+00:00,0.002605521,0.0027334532,796508.0594269001,1.1428571428571458e-05,0.0025712352857142854,0.001315788105,0.002605,0.002821,-0.045587499999994965,18.854412499999988,2.0,99.77276037052788,0.09615175843909908,1037.659237753018,1137.431998123546,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-09T08:45:00+00:00,2020-11-09 08:45:00+00:00,2020-11-09 08:46:00+00:00,2020-11-09 14:45:00+00:00,0.0027475494,0.0026934612000000004,827961.090070698,1.2714285714285698e-05,0.0027094065428571426,0.001387512447,0.002715,0.002792,-2.560065168539322,3.4961146067416076,2.0,-47.035397565692634,-0.04135227217388668,1137.431998123546,1090.3966005578534,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-10T13:45:00+00:00,2020-11-10 13:45:00+00:00,2020-11-10 13:46:00+00:00,2020-11-10 23:00:00+00:00,0.0027475494,0.0027764446,793723.0177247066,2.7857142857142868e-05,0.0026639779714285714,0.001387512447,0.002745,0.002894,-0.09151692307691195,5.25720102564103,2.0,20.742524747972517,0.019022917658914673,1090.3966005578534,1111.139125305826,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-16T12:45:00+00:00,2020-11-16 12:45:00+00:00,2020-11-16 12:46:00+00:00,2020-11-18 05:30:00+00:00,0.0028785755999999997,0.0028874224,772006.2139801546,1.5571428571428563e-05,0.002831861314285714,0.0014536806779999998,0.002861,0.00305,-1.1287082568807372,11.008906422018399,2.0,4.604091430941158,0.004143577816750845,1111.139125305826,1115.7432167367672,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-21T02:15:00+00:00,2020-11-21 02:15:00+00:00,2020-11-21 02:16:00+00:00,2020-11-22 01:00:00+00:00,0.0030186035999999997,0.0033753248,739244.6074978294,3.142857142857142e-05,0.0029243178857142854,0.0015243948179999999,0.003018,0.003715,-0.019205454545452482,22.1580672727273,2.0,261.3408849349414,0.2342303148382918,1115.7432167367672,1377.0841016717086,False,,donchian20_exit,drawdown_gt_10pct
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-23T23:30:00+00:00,2020-11-23 23:30:00+00:00,2020-11-23 23:31:00+00:00,2020-11-24 10:00:00+00:00,0.0034546908,0.0037122574,1195838.511804045,3.678571428571424e-05,0.003344333657142857,0.0023204006540000002,0.003449,0.004283,-0.15470135922331107,22.517143300970904,3.0,303.7228032995955,0.22055501398272756,1377.0841016717086,1680.806904971304,False,,donchian20_exit,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-11-30T04:00:00+00:00,2020-11-30 04:00:00+00:00,2020-11-30 04:01:00+00:00,2020-11-30 08:00:00+00:00,0.0034826963999999997,0.0034553088,3860932.362571263,2.5071428571428493e-05,0.003407482114285714,0.0030647728319999996,0.003473,0.003584,-0.3867509971509845,4.040599430199461,8.0,-119.13525557733897,-0.07087979899712094,1680.806904971304,1561.671649393965,False,,donchian20_exit,all_raise_conditions_met
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-12-16T13:45:00+00:00,2020-12-16 13:45:00+00:00,2020-12-16 13:46:00+00:00,2020-12-18 00:00:00+00:00,0.0032546508,0.003664267,1439483.1384620112,1.4285714285714292e-05,0.0032117936571428567,0.002186040454,0.003234,0.004139,-1.4455559999999916,61.904444000000005,3.0,584.655780386131,0.37437817393497363,1561.671649393965,2146.3274297800963,False,,donchian20_exit,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-12-19T03:45:00+00:00,2020-12-19 03:45:00+00:00,2020-12-19 03:46:00+00:00,2020-12-19 14:15:00+00:00,0.0038917782,0.0038572284,1654509.0594680572,4.2857142857142755e-05,0.0037632067714285715,0.0026139776910000002,0.003858,0.00405,-0.7881579999999975,3.691842000000009,3.0,-63.573357913598166,-0.029619599056287336,2146.3274297800963,2082.754071866498,False,,donchian20_exit,default_3x
DOGEUSDT,P6_MOMENTUM_OR_BREAKOUT_TOP20,G1_SINGLE_BEST_PATH_SAFETY,adaptive_3x_8x_v1,DOGEUSDT_2020-12-20T09:30:00+00:00,2020-12-20 09:30:00+00:00,2020-12-20 09:31:00+00:00,2020-12-21 10:15:00+00:00,0.0040338066,0.0047900418,1032649.4442576886,6.49285714285714e-05,0.003839020885714286,0.002037072333,0.004031,0.005445,-0.043225962596268507,21.734551815181522,2.0,776.3698879348651,0.372761190781928,2082.754071866498,2859.1239598013635,False,,donchian20_exit,atr_pct_rank_gt_80pct
