symbol,month,status,rows,path,note
ETHUSDT,2020-01,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-01.zip,
ETHUSDT,2020-02,downloaded_or_cached,41760,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-02.zip,
ETHUSDT,2020-03,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-03.zip,
ETHUSDT,2020-04,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-04.zip,
ETHUSDT,2020-05,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-05.zip,
ETHUSDT,2020-06,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-06.zip,
ETHUSDT,2020-07,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-07.zip,
ETHUSDT,2020-08,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-08.zip,
ETHUSDT,2020-09,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-09.zip,
ETHUSDT,2020-10,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-10.zip,
ETHUSDT,2020-11,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-11.zip,
ETHUSDT,2020-12,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2020-12.zip,
ETHUSDT,2021-01,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2021-01.zip,
ETHUSDT,2021-02,downloaded_or_cached,40320,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2021-02.zip,
ETHUSDT,2021-03,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2021-03.zip,
ETHUSDT,2021-04,downloaded_or_cached,43200,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2021-04.zip,
ETHUSDT,2021-05,downloaded_or_cached,44640,/Users/muce/1m_data/long_history_1m/_binance_monthly_cache/ETHUSDT/ETHUSDT-1m-2021-05.zip,
