time,equity,prototype,sizing_mode
2024-01-01 00:00:00+00:00,1000.0,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-02 14:45:00+00:00,1015.9525226231118,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-09 00:15:00+00:00,1021.5060614810388,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-11 16:00:00+00:00,1042.165946705419,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-12 16:45:00+00:00,1041.553306607705,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-14 02:15:00+00:00,1037.4067115176065,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-17 03:45:00+00:00,1041.487114533544,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-27 05:30:00+00:00,1042.3271489080391,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-28 12:00:00+00:00,1042.3803557806432,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-30 06:30:00+00:00,1039.5230238036306,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-30 23:00:00+00:00,1042.1356426885156,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-01-31 20:07:00+00:00,1036.5410824469734,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-02 13:30:00+00:00,1030.3992189722753,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-03 07:30:00+00:00,1028.2140802591655,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-05 15:00:00+00:00,1025.082998563739,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-06 12:48:00+00:00,1019.0046958826389,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-08 05:30:00+00:00,1026.2001568824967,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-08 23:15:00+00:00,1022.8504573026205,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-10 07:45:00+00:00,1030.2180639504018,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-10 22:22:00+00:00,1024.160938144565,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-13 13:30:00+00:00,1041.7203946115017,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-15 05:45:00+00:00,1071.2229676759985,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-15 21:45:00+00:00,1067.5604743302254,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-18 12:45:00+00:00,1064.2127097851187,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-20 01:15:00+00:00,1080.4831875485877,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-20 14:40:00+00:00,1074.6428178522478,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-21 05:45:00+00:00,1071.145265074739,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-22 13:15:00+00:00,1066.5960294688016,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-26 02:45:00+00:00,1100.3048098571876,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-27 15:45:00+00:00,1112.58475423546,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-02-28 17:31:00+00:00,1106.3094272570122,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-02 05:00:00+00:00,1108.5529786371312,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-03 06:10:00+00:00,1102.081462800686,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-05 16:00:00+00:00,1134.1764708032158,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-07 03:30:00+00:00,1133.785468959116,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-08 16:00:00+00:00,1131.8670083153133,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-10 13:45:00+00:00,1129.1936856701955,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-12 03:15:00+00:00,1130.2849917276283,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-13 12:30:00+00:00,1124.4517845596595,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-21 04:30:00+00:00,1122.9190344993085,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-21 15:00:00+00:00,1118.1656156912316,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-26 13:30:00+00:00,1137.142175350636,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-27 14:00:00+00:00,1129.5785710657058,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-03-28 17:23:00+00:00,1123.5468471588572,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-01 01:15:00+00:00,1129.3301283117034,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-04 20:00:00+00:00,1118.3892758940094,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-07 18:00:00+00:00,1124.5467924792274,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-09 01:00:00+00:00,1164.391806103356,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-11 11:30:00+00:00,1158.2823015141755,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-21 00:30:00+00:00,1169.7423280414646,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-21 10:00:00+00:00,1171.1441123312425,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-22 15:00:00+00:00,1166.0412981700383,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-23 20:00:00+00:00,1165.4411343788,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-24 14:15:00+00:00,1160.9655072106282,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-28 10:00:00+00:00,1175.624532180093,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-04-28 22:32:00+00:00,1169.1478952354232,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-03 06:15:00+00:00,1165.9131420875294,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-04 07:45:00+00:00,1168.8602886867018,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-05 00:30:00+00:00,1162.8698894781294,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-06 03:00:00+00:00,1159.2116183308706,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-06 10:30:00+00:00,1155.5574904397786,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-16 02:45:00+00:00,1156.8493550943474,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-18 14:30:00+00:00,1165.9166923406235,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-20 06:52:00+00:00,1159.436387380357,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-21 17:00:00+00:00,1235.1993907530111,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-23 13:51:00+00:00,1228.4596332752553,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-27 19:00:00+00:00,1259.45046424169,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-05-28 13:45:00+00:00,1256.3371009968919,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-02 07:30:00+00:00,1249.70357752538,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-03 10:45:00+00:00,1247.0300841525952,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-05 05:00:00+00:00,1238.7944502614016,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-06 05:15:00+00:00,1242.818857724333,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-15 20:00:00+00:00,1243.2478786563945,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-17 05:45:00+00:00,1243.8383572098057,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-19 14:15:00+00:00,1238.7636767224349,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-20 13:15:00+00:00,1231.0276925123799,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-28 00:45:00+00:00,1235.955319507383,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-06-28 07:15:00+00:00,1231.2075611561768,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-01 08:30:00+00:00,1246.7601367083557,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-09 13:30:00+00:00,1243.9086280466008,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-10 21:00:00+00:00,1242.671460233638,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-11 20:00:00+00:00,1234.931540377108,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-12 20:00:00+00:00,1230.4645606481129,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-14 13:30:00+00:00,1243.94771926161,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-16 05:15:00+00:00,1304.0854309821152,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-18 14:45:00+00:00,1301.6600463372836,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-20 00:30:00+00:00,1302.8700822197272,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-21 05:00:00+00:00,1300.4283145473926,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-22 03:30:00+00:00,1299.4615596045169,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-27 17:00:00+00:00,1295.4281139437178,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
2024-07-29 13:30:00+00:00,1307.9949896038825,P1_C1_FIRST_BREAKOUT,fixed_risk_0_5pct
