time,equity,prototype,sizing_mode
2024-01-01 00:00:00+00:00,1000.0,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-02 14:45:00+00:00,1015.9525226231118,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-09 00:15:00+00:00,1021.5060614810388,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-11 16:00:00+00:00,1042.165946705419,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-12 16:45:00+00:00,1041.41919019392,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-14 02:15:00+00:00,1037.2731290433321,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-17 03:45:00+00:00,1041.3530066430324,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-27 05:30:00+00:00,1039.9473028200748,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-28 12:00:00+00:00,1040.0003882105052,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-30 06:30:00+00:00,1035.056090290524,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-30 23:00:00+00:00,1036.871409037924,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-01-31 20:07:00+00:00,1031.3051091025045,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-06 12:48:00+00:00,1025.1899119736154,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-07 03:15:00+00:00,1029.0371961278345,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-08 05:30:00+00:00,1036.3034992587807,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-08 23:15:00+00:00,1032.9208205748903,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-10 07:45:00+00:00,1040.3609641950713,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-10 22:22:00+00:00,1034.2442036138723,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-11 10:15:00+00:00,1032.9245095355845,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-13 13:30:00+00:00,1050.6342192924135,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-15 05:45:00+00:00,1068.557164788374,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-15 21:45:00+00:00,1064.9037857779276,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-20 01:15:00+00:00,1081.1848292266873,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-20 14:40:00+00:00,1075.340666924556,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-21 05:45:00+00:00,1071.8408429142983,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-26 02:45:00+00:00,1105.7153807776115,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-27 15:45:00+00:00,1118.0557097959966,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-28 17:31:00+00:00,1111.7495249122105,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-02-29 16:15:00+00:00,1107.4880511623983,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-02 05:00:00+00:00,1109.733992744774,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-03 06:10:00+00:00,1103.2555823785697,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-05 16:00:00+00:00,1135.3847832956162,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-07 03:30:00+00:00,1134.3795598554914,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-08 16:00:00+00:00,1129.2300179347799,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-10 13:45:00+00:00,1126.5629235179322,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-13 12:30:00+00:00,1120.9495284248903,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-21 04:30:00+00:00,1119.421552320502,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-26 13:30:00+00:00,1138.4194266725062,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-03-27 14:00:00+00:00,1130.8473268592413,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-01 01:15:00+00:00,1136.6681860861704,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-04 20:00:00+00:00,1125.656243200658,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-07 18:00:00+00:00,1131.8537695326427,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-09 01:00:00+00:00,1171.957684433438,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-21 00:30:00+00:00,1183.5530149801536,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-21 10:00:00+00:00,1184.9713495849178,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-22 15:00:00+00:00,1178.3219465348377,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-23 20:00:00+00:00,1177.7154618692932,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-24 14:15:00+00:00,1173.1926977741957,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-04-28 10:00:00+00:00,1188.0061103552341,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-05-03 06:15:00+00:00,1184.719181027602,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
2024-05-04 07:45:00+00:00,1187.7138647474274,P2_STRONG_BREAKOUT,fixed_risk_0_5pct
