time,equity,prototype,sizing_mode
2024-01-01 00:00:00+00:00,1000.0,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-01-02 14:45:00+00:00,1049.2541604411904,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-01-09 00:15:00+00:00,1084.3913989606795,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-01-11 16:00:00+00:00,1277.028275054745,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-01-12 16:45:00+00:00,1270.9934799372872,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-01-17 03:45:00+00:00,1306.605838483347,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-01-28 12:00:00+00:00,1304.4296312849142,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-07 03:15:00+00:00,1330.4872222395609,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-08 23:15:00+00:00,1309.0798011064962,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-10 07:45:00+00:00,1337.090687906542,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-11 10:15:00+00:00,1331.4808399910219,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-13 13:30:00+00:00,1441.7350254964617,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-15 05:45:00+00:00,1557.0583508708478,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-20 01:15:00+00:00,1665.1759290474579,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-20 14:40:00+00:00,1608.7884986820604,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-26 02:45:00+00:00,1726.550435460483,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-27 15:45:00+00:00,1845.2755015541727,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-02-28 17:31:00+00:00,1801.5240857288807,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-02 05:00:00+00:00,1823.5990095876,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-03 06:10:00+00:00,1793.2320799944796,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-04 00:49:00+00:00,1743.9733684265254,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-05 16:00:00+00:00,1744.4317273270606,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-07 03:30:00+00:00,1737.1660429029992,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-12 03:15:00+00:00,1754.4775283690767,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-21 04:30:00+00:00,1731.7385618184853,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-21 15:00:00+00:00,1671.1615301649892,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-26 13:30:00+00:00,1810.0069301055075,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-03-27 14:00:00+00:00,1737.8290483788762,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-04-04 20:00:00+00:00,1650.0684476680171,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-04-07 18:00:00+00:00,1662.1872670118394,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-04-09 01:00:00+00:00,1887.0601849801242,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-04-21 00:30:00+00:00,1966.748500285574,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-04-24 14:15:00+00:00,1930.234448616947,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-04-28 10:00:00+00:00,2073.2016121236675,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-05-04 07:45:00+00:00,2092.9069260006204,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-05-05 00:30:00+00:00,2047.0578928618647,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-05-06 10:30:00+00:00,2003.7066754387579,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-05-16 02:45:00+00:00,1977.362542145939,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
2024-05-18 14:30:00+00:00,2010.8344022514,P6_MOMENTUM_OR_BREAKOUT_TOP20,fixed_2x
