prototype,sizing_mode,event_id,signal_time,entry_time,exit_time,entry_raw_price,entry_price,exit_raw_price,exit_price,quantity,stop_loss,atr,gross_pnl,entry_fee,exit_fee,total_fee,net_pnl,trade_return,equity_before,equity_after,mae_atr,mfe_atr,exit_reason
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-01-02T08:15:00+00:00,2024-01-02 08:15:00+00:00,2024-01-02 08:16:00+00:00,2024-01-02 14:45:00+00:00,2396.57,2397.0493140000003,2369.15,2368.67617,0.834359138261767,2370.9450282857147,8.701428571428616,-23.67339197761714,1.0,0.9881633040111915,1.9881633040111915,-25.66155528162833,-0.02566155528162833,1000.0,974.3384447183716,-2.3432145460515934,4.302820587752336,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-01-08T17:45:00+00:00,2024-01-08 17:45:00+00:00,2024-01-08 17:46:00+00:00,2024-01-09 00:15:00+00:00,2280.29,2280.7460579999997,2321.7,2321.23566,0.8544032697553142,2245.8153437142855,11.643571428571347,34.5944483398914,0.9743384447183717,0.9916356688883173,1.965974113606689,32.628474226284716,0.033487823869780525,974.3384447183716,1006.9669189446564,-0.22811368627688222,6.77489226427833,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-01-10T09:15:00+00:00,2024-01-10 09:15:00+00:00,2024-01-10 09:16:00+00:00,2024-01-10 12:48:00+00:00,2379.84,2380.315968,2341.000968,2340.5327678064,0.8460783631096966,2341.000968,13.104999999999986,-33.65970489906637,1.0069669189446566,0.9901370664951232,1.9971039854397798,-35.65680888450615,-0.03541010952164742,1006.9669189446564,971.3101100601502,-3.360241739793943,3.9285793208699262,atr_stop
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-01-10T15:00:00+00:00,2024-01-10 15:00:00+00:00,2024-01-10 15:01:00+00:00,2024-01-11 16:00:00+00:00,2384.84,2385.316968,2582.94,2582.423412,0.8144075802844414,2308.328396571429,25.662857142857092,160.52498211651076,0.9713101100601502,1.0515726011184057,2.022882711178556,158.5020994053322,0.16318382539590434,971.3101100601502,1129.8122094654825,-0.06885312847917992,11.94656659986642,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-02-12T17:15:00+00:00,2024-02-12 17:15:00+00:00,2024-02-12 17:16:00+00:00,2024-02-13 13:30:00+00:00,2560.87,2561.382174,2638.68,2638.152264,0.8821894842042284,2510.3714597142857,17.00357142857141,67.72576609941217,1.1298122094654826,1.1636750925151886,2.2934873019806714,65.4322787974315,0.057914296065527296,1129.8122094654825,1195.244488262914,-0.2012620709934786,7.493591951270754,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-02-15T00:15:00+00:00,2024-02-15 00:15:00+00:00,2024-02-15 00:16:00+00:00,2024-02-15 05:45:00+00:00,2782.13,2782.686426,2773.02,2772.465396,0.8590579787180908,2747.740711714286,11.648571428571424,-8.7804573722171,1.195244488262914,1.1908542595768057,2.3860987478397195,-11.16655612005682,-0.009342487022287401,1195.244488262914,1184.0779321428572,-0.7886311258278257,4.011099067942084,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-02-19T06:00:00+00:00,2024-02-19 06:00:00+00:00,2024-02-19 06:01:00+00:00,2024-02-20 01:15:00+00:00,2909.69,2910.271938,2917.21,2916.626558,0.8137232240617215,2872.094795142857,12.725714285714307,5.170901874087152,1.1840779321428572,1.1866633830799007,2.370741315222758,2.800160558864394,0.002364844815405747,1184.0779321428572,1186.8780927017217,-1.7344360799281617,6.125240615177355,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-02-20T13:30:00+00:00,2024-02-20 13:30:00+00:00,2024-02-20 13:31:00+00:00,2024-02-20 14:40:00+00:00,2970.21,2970.8040419999998,2924.0361848571424,2923.451377620171,0.7990281929889214,2924.0361848571424,15.589285714285714,-37.83611385262534,1.1868780927017217,1.1679600357754092,2.354838128477131,-40.190951981102465,-0.033862746501297995,1186.8780927017217,1146.6871407206193,-3.3281859702176266,2.493761337915238,atr_stop
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-02-27T01:45:00+00:00,2024-02-27 01:45:00+00:00,2024-02-27 01:46:00+00:00,2024-02-27 15:45:00+00:00,3193.13,3193.768626,3231.74,3231.093652,0.7180777789509285,3155.542197428572,12.742142857142783,26.802271769365646,1.1466871407206192,1.1600882766053022,2.3067754173259214,24.495496352039723,0.021361970045853898,1146.6871407206193,1171.182637072659,-0.12859893491787563,7.989344896014407,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-02-28T16:45:00+00:00,2024-02-28 16:45:00+00:00,2024-02-28 16:46:00+00:00,2024-02-28 17:31:00+00:00,3405.43,3406.111086,3326.716086,3326.0507427828,0.6876949151109741,3326.716086,26.465000000000014,-55.05709093250761,1.171182637072659,1.143654091606405,2.3148367286790643,-57.37192766118668,-0.04898632019049253,1171.182637072659,1113.8107094114723,-9.566260570564879,3.6258799924428593,atr_stop
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-03-05T03:30:00+00:00,2024-03-05 03:30:00+00:00,2024-03-05 03:31:00+00:00,2024-03-05 16:00:00+00:00,3653.71,3654.440742,3705.48,3704.7389040000003,0.6095656151216762,3590.626456285714,21.27142857142855,30.660030059020023,1.1138107094114724,1.1291407244409823,2.242951433852455,28.41707862516757,0.025513382467100627,1113.8107094114723,1142.2277880366398,-0.4010422699798545,8.155975862995321,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-03-06T08:00:00+00:00,2024-03-06 08:00:00+00:00,2024-03-06 08:01:00+00:00,2024-03-07 03:30:00+00:00,3787.87,3788.6275739999996,3772.49,3771.735502,0.6029770758547722,3671.8825739999997,38.91499999999993,-10.185532179688058,1.1422277880366398,1.1371350219467957,2.2793628099834358,-12.464894989671494,-0.010912792632279799,1142.2277880366398,1129.7628930469684,-1.635039804702555,3.0269157394321096,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-03-25T04:45:00+00:00,2024-03-25 04:45:00+00:00,2024-03-25 04:46:00+00:00,2024-03-26 13:30:00+00:00,3469.29,3469.983858,3618.4,3617.67632,0.6511631980317808,3427.6302865714283,14.117857142857181,96.17189588110725,1.1297628930469685,1.177848840987522,2.3076117340344906,93.86428414707275,0.08308317145549093,1129.7628930469684,1223.6271771940412,-2.8031065621047473,15.191125666582304,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-04-08T08:00:00+00:00,2024-04-08 08:00:00+00:00,2024-04-08 08:01:00+00:00,2024-04-09 01:00:00+00:00,3477.86,3478.555572,3679.84,3679.104032,0.7035260192727151,3432.209857714286,15.44857142857141,141.09105973507332,1.2236271771940412,1.294172707061578,2.517799884255619,138.5732598508177,0.11324794221111266,1223.6271771940412,1362.200437044859,-0.15247830589978706,16.619946328833016,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-04-20T17:30:00+00:00,2024-04-20 17:30:00+00:00,2024-04-20 17:31:00+00:00,2024-04-21 00:30:00+00:00,3139.01,3139.637802,3132.8,3132.17344,0.8677436844320802,3088.2756591428574,17.12071428571432,-6.477152983814953,1.362200437044859,1.3589618605529517,2.721162297597811,-9.198315281412764,-0.006752541719460521,1362.200437044859,1353.0021217634462,-0.7218041136468002,1.9971245024823399,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-04-27T17:30:00+00:00,2024-04-27 17:30:00+00:00,2024-04-27 17:31:00+00:00,2024-04-28 10:00:00+00:00,3175.89,3176.525178,3298.06,3297.400388,0.8518755847641805,3129.9416065714286,15.527857142857133,102.97064020224325,1.3530021217634463,1.4044874418645676,2.757489563628014,100.21315063861522,0.07406725313039539,1353.0021217634462,1453.2152724020614,-0.1961106398638319,10.583226036156235,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-05-04T10:45:00+00:00,2024-05-04 10:45:00+00:00,2024-05-04 10:46:00+00:00,2024-05-05 00:30:00+00:00,3123.72,3124.3447439999995,3093.85,3093.23123,0.9302528315371216,3091.4004582857133,10.981428571428685,-28.943434497569566,1.4532152724020615,1.4387435551532768,2.8919588275553383,-31.835393325124905,-0.021906866745560187,1453.2152724020614,1421.3798790769365,-1.974674229218107,3.9252867438532344,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-05-15T19:30:00+00:00,2024-05-15 19:30:00+00:00,2024-05-15 19:31:00+00:00,2024-05-16 02:45:00+00:00,3005.82,3006.4211640000003,3002.45,3001.84951,0.9455627149629369,2964.429735428572,13.997142857142794,-4.3227855681114615,1.4213798790769365,1.419218486292881,2.8405983653698175,-7.163383933481279,-0.005039739227301627,1421.3798790769365,1414.2164951434552,-0.3680153908961367,2.3954057154521293,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-05-17T08:00:00+00:00,2024-05-17 08:00:00+00:00,2024-05-17 08:01:00+00:00,2024-05-18 14:30:00+00:00,3025.59,3026.195118,3098.45,3097.83031,0.934649908547936,2982.4508322857146,14.581428571428562,66.95382565161358,1.4142164951434553,1.4476934079692618,2.861909903112717,64.09191574850087,0.04531973426176133,1414.2164951434552,1478.308410891956,-0.6888980699519986,8.240953992358211,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-05-20T19:15:00+00:00,2024-05-20 19:15:00+00:00,2024-05-20 19:16:00+00:00,2024-05-21 17:00:00+00:00,3144.0,3144.6288,3737.08,3736.332584,0.9402117101337724,3056.7480857142855,29.29357142857147,556.3268266472645,1.4783084108919562,1.7564718242155883,3.2347802351075448,553.092046412157,0.37413846957580515,1478.308410891956,2031.400457304113,-0.15460047304381977,24.05412401550801,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-05-23T11:15:00+00:00,2024-05-23 11:15:00+00:00,2024-05-23 11:16:00+00:00,2024-05-23 13:46:00+00:00,3847.03,3847.799406,3780.8801202857144,3780.1239442616575,1.05587648573181,3780.8801202857144,22.306428571428537,-71.45692871055877,2.031400457304113,1.9956719929488336,4.0270724502529465,-75.48400116081172,-0.037158602032110945,2031.400457304113,1955.9164561433013,-5.191301943706186,4.7112245541003395,atr_stop
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-05-27T02:15:00+00:00,2024-05-27 02:15:00+00:00,2024-05-27 02:16:00+00:00,2024-05-27 19:00:00+00:00,3902.45,3903.23049,3914.27,3913.487146,1.0022039237264215,3853.492632857143,16.579285714285724,10.279260887512164,1.9559164561433016,1.9610560865870577,3.916972542730359,6.362288344781805,0.00325284258680815,1955.9164561433013,1962.278744488083,-1.0392781870664822,4.630447374089892,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-07-15T22:00:00+00:00,2024-07-15 22:00:00+00:00,2024-07-15 22:01:00+00:00,2024-07-16 05:15:00+00:00,3420.62,3421.304124,3434.16,3433.473168,1.1470940164149424,3361.327695428571,19.99214285714288,13.9590375578904,1.962278744488083,1.9692582632670281,3.931537007755111,10.027500550135288,0.00511013054506242,1962.278744488083,1972.3062450382183,-0.13525933759689723,3.8232958090678544,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-07-29T06:15:00+00:00,2024-07-29 06:15:00+00:00,2024-07-29 06:16:00+00:00,2024-07-29 13:30:00+00:00,3365.01,3365.683002,3356.55,3355.8786900000005,1.1720095112143412,3323.0658591428573,14.205714285714228,-11.490746914912611,1.9723062450382183,1.966560871580762,3.9388671166189804,-15.429614031531592,-0.00782313297965175,1972.3062450382183,1956.8766310066867,-0.400050422365275,2.1390686444086695,donchian20_exit
P5_MOMENTUM_AND_BREAKOUT_TOP40,fixed_2x,ETHUSDT_2024-08-08T22:45:00+00:00,2024-08-08 22:45:00+00:00,2024-08-08 22:46:00+00:00,2024-08-09 10:15:00+00:00,2649.18,2649.709836,2639.3,2638.77214,1.47704975421821,2572.0591217142855,25.883571428571486,-16.15552118851344,1.9568766310066867,1.94879887041243,3.9056755014191165,-20.061196689932554,-0.010251640993644225,1956.8766310066867,1936.8154343167541,-0.21325635124320214,2.861280724121752,donchian20_exit
