prototype,horizon,period,event_count,mean_fwd_ret,plus_1atr_first_rate,minus_1atr_first_rate
P0_ALL_TREND_CONTEXT,1,2024-01,53,0.006346261204571199,0.7547169811320755,0.018867924528301886
P0_ALL_TREND_CONTEXT,1,2024-02,82,0.006098479380580478,0.8414634146341463,0.024390243902439025
P0_ALL_TREND_CONTEXT,1,2024-03,62,0.003973225619500497,0.7580645161290323,0.03225806451612903
P0_ALL_TREND_CONTEXT,1,2024-04,36,0.005964439586777738,0.8611111111111112,0.0
P0_ALL_TREND_CONTEXT,1,2024-05,43,0.0077742630554834885,0.9069767441860465,0.0
P0_ALL_TREND_CONTEXT,1,2024-06,24,0.0038347970384289137,0.8333333333333334,0.0
P0_ALL_TREND_CONTEXT,1,2024-07,46,0.004579357978016833,0.8695652173913043,0.0
P0_ALL_TREND_CONTEXT,1,2024-08,28,0.0045641199539811095,0.8214285714285714,0.0
P0_ALL_TREND_CONTEXT,1,2024-09,31,0.006584607474930049,0.8387096774193549,0.03225806451612903
P0_ALL_TREND_CONTEXT,1,2024-10,48,0.005332972526666632,0.8125,0.020833333333333332
P0_ALL_TREND_CONTEXT,1,2024-11,71,0.00816987011046708,0.8169014084507042,0.0
P0_ALL_TREND_CONTEXT,1,2024-12,45,0.005278374811697471,0.8222222222222222,0.0
P0_ALL_TREND_CONTEXT,1,2025-01,53,0.006174763734322206,0.8301886792452831,0.0
P0_ALL_TREND_CONTEXT,1,2025-02,21,0.005810056374316821,0.7142857142857143,0.0
P0_ALL_TREND_CONTEXT,1,2025-03,25,0.008973216310352129,0.68,0.0
P0_ALL_TREND_CONTEXT,1,2025-04,36,0.006425199436946848,0.9166666666666666,0.0
P0_ALL_TREND_CONTEXT,1,2025-05,64,0.008470970746410456,0.84375,0.015625
P0_ALL_TREND_CONTEXT,1,2025-06,45,0.006393312042053117,0.8,0.022222222222222223
P0_ALL_TREND_CONTEXT,1,2025-07,76,0.006348302390452775,0.75,0.039473684210526314
P0_ALL_TREND_CONTEXT,1,2025-08,56,0.006552283807324049,0.75,0.03571428571428571
P0_ALL_TREND_CONTEXT,1,2025-09,37,0.0041509741936634195,0.6486486486486487,0.02702702702702703
P0_ALL_TREND_CONTEXT,1,2025-10,50,0.004129612498009636,0.68,0.04
P0_ALL_TREND_CONTEXT,1,2025-11,27,0.008570463276248087,0.7777777777777778,0.0
P0_ALL_TREND_CONTEXT,1,2025-12,28,0.006816054874907349,0.8928571428571429,0.0
P0_ALL_TREND_CONTEXT,1,2026-01,46,0.0042649587191631155,0.7608695652173914,0.021739130434782608
P0_ALL_TREND_CONTEXT,1,2026-02,21,0.005999043606860909,0.8095238095238095,0.0
