symbol,prototype,gate,leverage_mode,event_id,base_leverage,final_leverage,equity_drawdown_before_entry,recent_3_loss_count,gate_high_risk,reason
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-05T01:30:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-11T00:00:00+00:00,1.0,1.0,0.02684133838586067,1,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-11T21:45:00+00:00,1.0,5.0,0.042624486802535944,2,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-14T00:45:00+00:00,1.0,1.0,0.10008161184089082,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-19T01:15:00+00:00,1.0,1.0,0.05404873864267368,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-26T17:15:00+00:00,1.0,1.0,0.05770357271589355,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-27T19:00:00+00:00,1.0,1.0,0.05681689440350601,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-28T23:45:00+00:00,1.0,1.0,0.05171928973317663,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-02-05T16:15:00+00:00,1.0,1.0,0.06066502690672215,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-02-23T04:00:00+00:00,1.0,1.0,0.059188434796061395,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-05T02:45:00+00:00,1.0,1.0,0.0536238624598524,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-19T16:30:00+00:00,1.0,1.0,0.044803275746095994,0,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-02T14:45:00+00:00,1.0,1.0,0.06249708275254173,1,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-12T17:00:00+00:00,1.0,1.0,0.07728090000224896,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-17T23:30:00+00:00,1.0,1.0,0.09405567803199755,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-23T14:15:00+00:00,1.0,1.0,0.104064511096989,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-26T11:00:00+00:00,1.0,1.0,0.08547614523753855,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-29T13:00:00+00:00,1.0,1.0,0.09382800124511803,2,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-03T00:45:00+00:00,1.0,1.0,0.015781932706552704,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-05T05:00:00+00:00,1.0,1.0,0.030775829018169554,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-06T10:30:00+00:00,1.0,1.0,0.046891243439235675,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-13T20:15:00+00:00,1.0,1.0,0.06265041104588065,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-17T12:15:00+00:00,1.0,5.0,0.037338263222045254,2,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-28T12:15:00+00:00,1.0,1.0,0.05790797109372381,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-30T04:45:00+00:00,1.0,5.0,0.04886978947936638,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-30T22:45:00+00:00,1.0,1.0,0.09037529680069456,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-01T23:15:00+00:00,1.0,1.0,0.10592258199591742,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-08T23:45:00+00:00,1.0,1.0,0.12824529851858912,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-09T00:15:00+00:00,1.0,1.0,0.1356735110510906,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-10T18:45:00+00:00,1.0,1.0,0.14680868019534643,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-01T13:45:00+00:00,1.0,1.0,0.15607697301269385,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-06T06:30:00+00:00,1.0,1.0,0.15877308368505094,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-08T14:00:00+00:00,1.0,1.0,0.15374273091479784,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-21T07:45:00+00:00,1.0,1.0,0.15731862807960773,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-22T22:30:00+00:00,1.0,1.0,0.15637290308122453,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-24T20:45:00+00:00,1.0,1.0,0.15255614649520044,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-25T17:30:00+00:00,1.0,1.0,0.1584005193671002,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-26T10:00:00+00:00,1.0,1.0,0.16200708751210913,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-27T17:00:00+00:00,1.0,1.0,0.16020444021899516,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-05T12:45:00+00:00,1.0,1.0,0.15329981693546157,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-10T02:00:00+00:00,1.0,1.0,0.13603818364172937,0,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-13T22:15:00+00:00,1.0,1.0,0.14610806947664046,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-15T00:30:00+00:00,1.0,1.0,0.1559958752883066,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-17T15:45:00+00:00,1.0,1.0,0.16568243863540433,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-30T01:45:00+00:00,1.0,1.0,0.17391892119689178,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-01T06:00:00+00:00,1.0,1.0,0.1759168993094795,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-12T18:15:00+00:00,1.0,1.0,0.1683953572411201,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-19T11:00:00+00:00,1.0,1.0,0.16384971272690918,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-08T14:45:00+00:00,1.0,1.0,0.1614654984362598,0,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_G1_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-10T02:15:00+00:00,1.0,1.0,0.16225711941353593,1,False,drawdown_gt_10pct
