symbol,prototype,gate,leverage_mode,event_id,base_leverage,final_leverage,equity_drawdown_before_entry,recent_3_loss_count,gate_high_risk,reason
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-05T01:30:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-06T22:15:00+00:00,1.0,5.0,0.02684133838586067,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-11T00:00:00+00:00,1.0,1.0,0.0,1,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-11T21:45:00+00:00,1.0,5.0,0.016218473964457525,2,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-14T00:45:00+00:00,1.0,1.0,0.07526036230674804,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-17T03:15:00+00:00,1.0,5.0,0.027957825717427554,2,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-19T01:15:00+00:00,1.0,5.0,0.019869303318361342,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-26T17:15:00+00:00,1.0,5.0,0.03880376227399862,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-27T19:00:00+00:00,1.0,5.0,0.034281449372969286,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-01-28T23:45:00+00:00,1.0,1.0,0.008184441460668435,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-02-05T16:15:00+00:00,1.0,5.0,0.017540870643783957,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-02-06T13:00:00+00:00,1.0,5.0,0.009818963970402161,1,False,all_raise_conditions_met
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-02-12T07:45:00+00:00,1.0,1.0,0.07371181046926889,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-02-23T04:00:00+00:00,1.0,1.0,0.08449896282650526,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-05T02:45:00+00:00,1.0,1.0,0.07908409343751976,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-19T09:30:00+00:00,1.0,1.0,0.07050080579142015,1,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-20T08:15:00+00:00,1.0,1.0,0.0,0,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-24T08:30:00+00:00,1.0,1.0,0.013894095408103824,1,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-03-30T22:30:00+00:00,1.0,1.0,0.04384460385979427,2,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-02T14:45:00+00:00,1.0,1.0,0.06828776787669655,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-12T17:00:00+00:00,1.0,1.0,0.08298026975121808,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-17T23:30:00+00:00,1.0,1.0,0.09965143481527794,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-23T14:15:00+00:00,1.0,1.0,0.10959844620518622,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-25T06:00:00+00:00,1.0,1.0,0.09112489532037138,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-26T11:00:00+00:00,1.0,1.0,0.09831526664232126,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-04-29T13:00:00+00:00,1.0,1.0,0.10654986983831116,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-01T11:00:00+00:00,1.0,1.0,0.02959950038284176,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-03T00:45:00+00:00,1.0,1.0,0.04449451851646846,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-05T05:00:00+00:00,1.0,1.0,0.059050998010838573,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-06T10:30:00+00:00,1.0,1.0,0.07469627757581576,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-13T20:15:00+00:00,1.0,1.0,0.08999570311184124,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-17T12:15:00+00:00,1.0,1.0,0.06542198637414076,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-28T12:15:00+00:00,1.0,1.0,0.0694159119638128,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-30T04:30:00+00:00,1.0,1.0,0.060488134488753675,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-05-30T22:45:00+00:00,1.0,1.0,0.06315901529529244,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-01T21:00:00+00:00,1.0,1.0,0.07917148056866163,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-08T23:45:00+00:00,1.0,1.0,0.0878388499791225,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-09T00:15:00+00:00,1.0,1.0,0.09561136542954884,3,False,recent_3_losses
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-09T21:15:00+00:00,1.0,1.0,0.10726265755913655,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-10T18:45:00+00:00,1.0,1.0,0.11462402137903493,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-16T03:15:00+00:00,1.0,1.0,0.12424193899355485,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-06-29T21:15:00+00:00,1.0,1.0,0.13586481411509455,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-01T13:45:00+00:00,1.0,1.0,0.14288559497818865,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-06T06:30:00+00:00,1.0,1.0,0.14562384861141364,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-08T14:00:00+00:00,1.0,1.0,0.14051486629448695,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-21T07:45:00+00:00,1.0,1.0,0.1441466583807589,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-22T22:30:00+00:00,1.0,1.0,0.14318615073565166,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-24T20:45:00+00:00,1.0,1.0,0.13930973434964355,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-25T17:30:00+00:00,1.0,1.0,0.1452454607330158,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-26T10:00:00+00:00,1.0,1.0,0.14890840321820342,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-27T01:30:00+00:00,1.0,1.0,0.1470775787085118,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-29T14:45:00+00:00,1.0,1.0,0.08790244895861665,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-07-31T12:00:00+00:00,1.0,1.0,0.10209801642254035,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-05T12:45:00+00:00,1.0,1.0,0.11129822303173176,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-10T02:00:00+00:00,1.0,1.0,0.09318030539293864,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-13T22:15:00+00:00,1.0,1.0,0.10374972018031092,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-15T00:30:00+00:00,1.0,1.0,0.11412802264310262,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-15T21:30:00+00:00,1.0,1.0,0.12429509976374775,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-17T15:45:00+00:00,1.0,1.0,0.1317295594097636,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-08-30T01:45:00+00:00,1.0,1.0,0.1403012288480523,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-01T06:00:00+00:00,1.0,1.0,0.14238051546077657,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-09T18:45:00+00:00,1.0,1.0,0.13455288129839504,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-12T18:15:00+00:00,1.0,1.0,0.14361766817856725,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-09-19T11:00:00+00:00,1.0,1.0,0.1389365860290055,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-08T14:45:00+00:00,1.0,1.0,0.13648133399119278,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-09T10:45:00+00:00,1.0,1.0,0.1372965413428371,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-12T21:30:00+00:00,1.0,1.0,0.11202216031038892,1,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-18T06:45:00+00:00,1.0,1.0,0.11952853115702533,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-20T11:15:00+00:00,1.0,1.0,0.12119575709868136,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-21T03:00:00+00:00,1.0,1.0,0.13059376010727042,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-24T14:15:00+00:00,1.0,1.0,0.07623748160946087,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-25T03:45:00+00:00,1.0,1.0,0.08424631542402727,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-27T10:45:00+00:00,1.0,1.0,0.09352594418199445,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-10-31T08:30:00+00:00,1.0,1.0,0.07364751902436695,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-03T23:30:00+00:00,1.0,1.0,0.08550979653992741,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-05T11:00:00+00:00,1.0,1.0,0.09881121162849393,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-08T17:30:00+00:00,1.0,1.0,0.057693861685130465,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-09T12:00:00+00:00,1.0,1.0,0.07286257609555369,2,False,atr_pct_rank_gt_80pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-11T11:00:00+00:00,1.0,1.0,0.09126876898788439,2,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-12T22:15:00+00:00,1.0,1.0,0.10156059177691923,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-16T10:30:00+00:00,1.0,1.0,0.1153680347737096,3,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-17T11:30:00+00:00,1.0,1.0,0.10253707818177216,2,False,drawdown_gt_10pct
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-20T07:15:00+00:00,1.0,1.0,0.0680250105240865,1,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-25T10:30:00+00:00,1.0,1.0,0.05752901179366798,0,False,default_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,BTCUSDT_2020-11-29T08:15:00+00:00,1.0,1.0,0.0718163108210077,1,False,default_1x
