symbol,prototype,gate,leverage_mode,event_id,base_leverage,final_leverage,equity_drawdown_before_entry,recent_3_loss_count,gate_high_risk,reason
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-05T01:30:00+00:00,1.0,1.0,0.0,0,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-06T22:15:00+00:00,1.0,1.0,0.005368267677172134,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-11T00:00:00+00:00,1.0,1.0,0.0,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-11T21:45:00+00:00,1.0,1.0,0.016218473964457525,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-14T00:45:00+00:00,1.0,1.0,0.028026851632915628,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-17T03:15:00+00:00,1.0,1.0,0.0,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-19T01:15:00+00:00,1.0,1.0,0.0,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-26T17:15:00+00:00,1.0,1.0,0.0038636600240645746,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-27T19:00:00+00:00,1.0,1.0,0.002926319646595954,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-01-28T23:45:00+00:00,1.0,1.0,0.0,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-02-05T16:15:00+00:00,1.0,1.0,0.009433638243077191,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-02-06T13:00:00+00:00,1.0,1.0,0.007876512705592309,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-02-12T07:45:00+00:00,1.0,1.0,0.020680149894161337,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-02-23T04:00:00+00:00,1.0,1.0,0.03208488607557525,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-03-05T02:45:00+00:00,1.0,1.0,0.026360005700008293,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-03-19T09:30:00+00:00,1.0,1.0,0.017285309438090035,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-03-20T08:15:00+00:00,1.0,1.0,0.0,0,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-03-24T08:30:00+00:00,1.0,1.0,0.013894095408103824,1,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-03-30T22:30:00+00:00,1.0,1.0,0.04384460385979427,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-02T14:45:00+00:00,1.0,1.0,0.06828776787669655,3,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-12T17:00:00+00:00,1.0,1.0,0.08298026975121808,3,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-17T23:30:00+00:00,1.0,1.0,0.09965143481527805,3,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-23T14:15:00+00:00,1.0,1.0,0.10959844620518633,3,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-25T06:00:00+00:00,1.0,1.0,0.0911248953203716,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-26T11:00:00+00:00,1.0,1.0,0.09831526664232138,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-04-29T13:00:00+00:00,1.0,1.0,0.10654986983831138,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-05-01T11:00:00+00:00,1.0,1.0,0.029599500382842092,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-05-03T00:45:00+00:00,1.0,1.0,0.044494518516468906,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-05-05T05:00:00+00:00,1.0,1.0,0.05905099801083913,2,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-05-06T10:30:00+00:00,1.0,1.0,0.0746962775758162,3,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-05-13T20:15:00+00:00,1.0,1.0,0.0899957031118418,3,False,fixed_1x
BTCUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,fixed_1x,BTCUSDT_2020-05-17T12:15:00+00:00,1.0,1.0,0.06542198637414132,2,False,fixed_1x
