symbol,prototype,gate,leverage_mode,event_id,base_leverage,final_leverage,equity_drawdown_before_entry,recent_3_loss_count,gate_high_risk,reason
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-06T09:00:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-08T01:00:00+00:00,1.0,1.0,0.04805618692392655,1,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-11T17:00:00+00:00,1.0,1.0,0.07015777059384465,2,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-13T00:00:00+00:00,1.0,1.0,0.0856251098723152,3,False,recent_3_losses
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-14T09:30:00+00:00,1.0,1.0,0.09484281152791052,3,False,recent_3_losses
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-14T17:00:00+00:00,1.0,1.0,0.10627039938785288,3,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-17T05:30:00+00:00,1.0,1.0,0.08944686197897578,2,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-22T07:15:00+00:00,1.0,1.0,0.10727176774657188,2,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-26T17:15:00+00:00,1.0,1.0,0.1165347391687045,2,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-01-30T23:00:00+00:00,1.0,1.0,0.12163852232885997,3,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-02-02T06:45:00+00:00,1.0,1.0,0.13903249279043406,3,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-02-05T18:15:00+00:00,1.0,1.0,0.12430469751944573,2,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-02-12T00:15:00+00:00,1.0,1.0,0.09607039189747857,1,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-02-14T18:15:00+00:00,1.0,1.0,0.006688276872998333,0,False,atr_pct_rank_gt_80pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-02-19T17:30:00+00:00,1.0,1.0,0.021683463590928764,1,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-02-23T03:45:00+00:00,1.0,5.0,0.04125780538046686,2,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-03-19T09:30:00+00:00,1.0,1.0,0.0,2,False,atr_pct_rank_gt_80pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-03-20T08:15:00+00:00,1.0,1.0,0.0,1,False,atr_pct_rank_gt_80pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-03-24T08:30:00+00:00,1.0,1.0,0.03752227991364554,1,False,atr_pct_rank_gt_80pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-03-26T23:30:00+00:00,1.0,1.0,0.06842721243042804,2,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-03-31T20:15:00+00:00,1.0,1.0,0.0853894973572017,3,False,recent_3_losses
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-04-06T04:15:00+00:00,1.0,1.0,0.09863413426532475,3,False,recent_3_losses
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-04-17T23:30:00+00:00,1.0,5.0,0.0,2,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-04-18T13:00:00+00:00,1.0,1.0,0.07501613392408824,2,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-04-22T13:30:00+00:00,1.0,5.0,0.046133838510750924,1,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-04-25T05:15:00+00:00,1.0,5.0,0.044557724023603695,1,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-04-29T06:15:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-01T11:30:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-03T00:30:00+00:00,1.0,1.0,0.09188601479853198,1,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-07T18:15:00+00:00,1.0,1.0,0.10217933065529172,2,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-13T12:45:00+00:00,1.0,1.0,0.11200191474559218,3,False,drawdown_gt_10pct
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-17T12:15:00+00:00,1.0,1.0,0.08838640961470057,2,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-28T15:00:00+00:00,1.0,5.0,0.04827086730229624,1,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-05-30T04:00:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-06-05T08:45:00+00:00,1.0,5.0,0.0,0,False,all_raise_conditions_met
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-06-08T23:45:00+00:00,1.0,1.0,0.08278260189672548,1,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-06-10T18:45:00+00:00,1.0,1.0,0.09277910270386358,2,False,default_1x
ETHUSDT,P4_BREAKOUT_TOP20,P4_NO_GATE,adaptive_1x_5x_v1,ETHUSDT_2020-06-16T09:15:00+00:00,1.0,1.0,0.10427074521471436,3,False,drawdown_gt_10pct
