symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,2020,high_vol,0.5_1.0,36,0.008666449245499645,0.005763336976386757,0.3888888888888889,0.3055555555555556,-0.01237902744810949,0.01786459743715369,0.20046247710073364,0.0041980338984997255
BNBUSDT,2020,high_vol,0_0.5,40,-0.004722391958525196,-0.0034711935306462327,0.25,0.65,-0.017536597301052954,0.009624959430317848,0.17150429445270318,-0.006446151814084319
BNBUSDT,2020,high_vol,1.0_1.5,25,0.00811842723691766,0.0074609048585412285,0.6,0.24,-0.011834159765806146,0.016894432054701217,0.22463746049503144,0.003943468201636455
BNBUSDT,2020,high_vol,1.5_2.5,20,0.005298998367413782,0.003745661886233931,0.55,0.45,-0.017640148523719885,0.018472504014153412,0.2470621195314638,-0.00025414990302184774
BNBUSDT,2020,low_vol,0.5_1.0,2,-0.0039227586166352135,-0.0039227586166352135,0.5,0.5,-0.006124651657497759,0.005886263092157229,,
BNBUSDT,2020,low_vol,0_0.5,5,-0.0037811509163606207,-0.005865208160915403,1.0,0.0,-0.006597298952296282,0.005909796822778634,1.0,-0.007805127980945792
BNBUSDT,2020,low_vol,1.0_1.5,3,0.0036914485293651675,0.009755252828445915,0.6666666666666666,0.3333333333333333,-0.005026072768546126,0.0098229216630669,0.5232242769181662,
BNBUSDT,2020,low_vol,1.5_2.5,7,0.0024617310837738832,0.003171017766387285,0.5714285714285714,0.2857142857142857,-0.00426069997601738,0.009368340824476209,0.34542039935099805,-0.0014141168055547548
BNBUSDT,2020,mid_vol,0.5_1.0,11,0.015143678114788471,0.002482451634993943,0.6363636363636364,0.36363636363636365,-0.017941311170168516,0.030792844559632562,0.33349381103136966,-0.008172521239468544
BNBUSDT,2020,mid_vol,0_0.5,4,0.005145095526884053,0.006767831193500884,0.75,0.25,-0.012279718032809778,0.014985650349813917,0.5855948758888556,-0.012082491972590925
