stress_case,event_count,mean_fwd_ret_16,positive_symbol_count,positive_year_rate,positive_quarter_rate,stress_status
original,5358,0.0009599131020932379,3,0.5714285714285714,0.5769230769230769,stress_fail
remove_best_1_event,5357,0.0009192460682435385,3,0.5714285714285714,0.5769230769230769,stress_fail
remove_best_3_events,5355,0.000840146418160663,3,0.5714285714285714,0.5769230769230769,stress_fail
remove_best_5_events,5353,0.0007657693679401699,3,0.5714285714285714,0.5769230769230769,stress_fail
remove_best_1_month,5304,0.0007336225454652739,3,0.5714285714285714,0.5769230769230769,stress_fail
remove_best_quarter,5159,0.0005795535049367311,2,0.5714285714285714,0.56,stress_fail
remove_best_year,4345,0.00044532091248738467,2,0.5,0.5454545454545454,stress_fail
only_ETH_BTC,2638,-0.0002751295820804055,1,0.5714285714285714,0.5384615384615384,symbol_dependent
only_SOL_BNB,2720,0.0021576817707710263,2,0.7142857142857143,0.6153846153846154,symbol_dependent
only_long,5031,0.0010131784157121505,3,0.7142857142857143,0.5769230769230769,direction_dependent
only_short,327,0.00014138649372921592,2,0.7142857142857143,0.5,direction_dependent
remove_2025,4345,0.00044532091248738467,2,0.5,0.5454545454545454,stress_fail
remove_2021_bull,4452,0.0005786406815558484,3,0.5,0.5909090909090909,stress_fail
remove_2022_bear,4487,0.0017979652517550592,3,0.6666666666666666,0.6818181818181818,stress_pass
