time,equity,symbol,sizing_mode,side_scope
2020-01-01 00:00:00+00:00,1000.0,ETHUSDT,fixed_risk_0_5pct,both
2020-01-02 02:21:00+00:00,995.7841641991797,ETHUSDT,fixed_risk_0_5pct,both
2020-01-07 15:35:00+00:00,989.6291332866355,ETHUSDT,fixed_risk_0_5pct,both
2020-01-07 15:51:00+00:00,983.5118788802092,ETHUSDT,fixed_risk_0_5pct,both
2020-01-07 16:01:00+00:00,977.6660086203884,ETHUSDT,fixed_risk_0_5pct,both
2020-01-08 16:41:00+00:00,972.0759191933529,ETHUSDT,fixed_risk_0_5pct,both
2020-01-08 20:45:00+00:00,972.646337265597,ETHUSDT,fixed_risk_0_5pct,both
2020-01-12 02:17:00+00:00,979.2455237376308,ETHUSDT,fixed_risk_0_5pct,both
2020-01-13 06:59:00+00:00,973.6460575514601,ETHUSDT,fixed_risk_0_5pct,both
2020-01-13 09:00:00+00:00,980.7028374900631,ETHUSDT,fixed_risk_0_5pct,both
2020-01-19 12:25:00+00:00,975.2853433202735,ETHUSDT,fixed_risk_0_5pct,both
2020-01-19 13:27:00+00:00,969.9463061934911,ETHUSDT,fixed_risk_0_5pct,both
2020-01-19 17:30:00+00:00,976.1647714179542,ETHUSDT,fixed_risk_0_5pct,both
2020-02-01 11:59:00+00:00,982.0014025800962,ETHUSDT,fixed_risk_0_5pct,both
2020-02-18 11:01:00+00:00,991.1870463302429,ETHUSDT,fixed_risk_0_5pct,both
2020-02-19 21:32:00+00:00,985.6378739552889,ETHUSDT,fixed_risk_0_5pct,both
2020-02-19 21:46:00+00:00,980.1584888157445,ETHUSDT,fixed_risk_0_5pct,both
2020-02-19 22:04:00+00:00,974.8774288816833,ETHUSDT,fixed_risk_0_5pct,both
2020-02-20 00:00:00+00:00,969.6646912062066,ETHUSDT,fixed_risk_0_5pct,both
2020-02-24 07:17:00+00:00,964.0336474160757,ETHUSDT,fixed_risk_0_5pct,both
2020-03-05 19:15:00+00:00,969.975724093901,ETHUSDT,fixed_risk_0_5pct,both
2020-03-22 06:07:00+00:00,964.432582313728,ETHUSDT,fixed_risk_0_5pct,both
2020-04-03 16:22:00+00:00,959.0364780495858,ETHUSDT,fixed_risk_0_5pct,both
2020-04-03 19:59:00+00:00,969.9361055246916,ETHUSDT,fixed_risk_0_5pct,both
2020-04-13 00:01:00+00:00,964.4045666291431,ETHUSDT,fixed_risk_0_5pct,both
2020-04-13 00:29:00+00:00,958.9552309396356,ETHUSDT,fixed_risk_0_5pct,both
2020-04-13 00:31:00+00:00,953.5965362391483,ETHUSDT,fixed_risk_0_5pct,both
2020-04-13 04:45:00+00:00,955.1460795565313,ETHUSDT,fixed_risk_0_5pct,both
2020-04-15 00:19:00+00:00,949.3599465935548,ETHUSDT,fixed_risk_0_5pct,both
2020-04-15 01:59:00+00:00,960.0258741271057,ETHUSDT,fixed_risk_0_5pct,both
2020-04-20 10:22:00+00:00,954.2144210539351,ETHUSDT,fixed_risk_0_5pct,both
2020-04-20 10:32:00+00:00,948.4969838330002,ETHUSDT,fixed_risk_0_5pct,both
2020-04-20 11:46:00+00:00,942.8866815213571,ETHUSDT,fixed_risk_0_5pct,both
2020-04-20 12:00:00+00:00,937.4556866891313,ETHUSDT,fixed_risk_0_5pct,both
2020-04-20 12:53:00+00:00,949.5973585551366,ETHUSDT,fixed_risk_0_5pct,both
2020-05-03 09:52:00+00:00,956.2638163251734,ETHUSDT,fixed_risk_0_5pct,both
2020-05-06 23:48:00+00:00,950.3618074579043,ETHUSDT,fixed_risk_0_5pct,both
2020-05-08 10:45:00+00:00,957.9479562979145,ETHUSDT,fixed_risk_0_5pct,both
