symbol,sizing_mode,original_total_return,remove_best_1_trade_return,remove_best_3_trades_return,remove_best_5_trades_return,remove_best_month_return,remove_best_quarter_return,remove_best_year_return,tail_dependency_status
ALL,fixed_1x,-2.6030712493781234,-2.693555224099324,-2.8612346177181025,-2.9974168936048846,-2.7444957100608143,-2.710941071777701,-2.5293768261638965,single_trade_dependent
ALL,fixed_risk_0_5pct,-2.345402170643032,-2.362333336192772,-2.3904788519364613,-2.418077370419571,-2.3794940318112414,-2.339253035956708,-2.2602826276178547,single_trade_dependent
BNBUSDT,fixed_1x,-0.6953110500162093,-0.7467707513166953,-0.8265328316254283,-0.885385061684771,-0.7467707513166952,-0.7705493485816355,-0.6864480691346349,single_trade_dependent
BNBUSDT,fixed_risk_0_5pct,-0.5722118072352198,-0.5860943293568864,-0.6103060200178421,-0.6313988849771384,-0.5987299011662051,-0.621338660067355,-0.5590456629639697,single_trade_dependent
BTCUSDT,fixed_1x,-0.7102214253596008,-0.7344595031368836,-0.7770779021476377,-0.8142117107112329,-0.7486501346681156,-0.7416411975461563,-0.7212531313583093,single_trade_dependent
BTCUSDT,fixed_risk_0_5pct,-0.685128277883865,-0.6976488055048926,-0.719455691827766,-0.7390358438103922,-0.7104015842098058,-0.7015905779435987,-0.6771639534392799,single_trade_dependent
ETHUSDT,fixed_1x,-0.6595003717443143,-0.6975185940286801,-0.7557098978171444,-0.8051296160229939,-0.7601262984794235,-0.6785845882646854,-0.6485333417137671,single_trade_dependent
ETHUSDT,fixed_risk_0_5pct,-0.5932906002898028,-0.605432272155808,-0.6275742211910721,-0.6491343372866534,-0.6201653141335105,-0.604310727501117,-0.5842986014546598,single_trade_dependent
SOLUSDT,fixed_1x,-0.5380384022579987,-0.628522376979201,-0.7962017705979797,-0.9323840464847595,-0.7243301829028176,-0.7275073677048144,-0.7665955844227683,single_trade_dependent
SOLUSDT,fixed_risk_0_5pct,-0.4947714852341447,-0.5117026507838841,-0.5398481665275737,-0.5669973232549098,-0.5349915752299752,-0.5349033708102932,-0.5001800893831103,single_trade_dependent
