period,symbol,sizing_mode,trade_count,return,profit_factor,max_drawdown,win_rate,sample_status
2020,BNBUSDT,fixed_1x,101,-0.02318084995994486,0.9484019818977704,-0.13823894637031775,0.42574257425742573,valid
2020,BNBUSDT,fixed_risk_0_5pct,101,-0.01316614427124993,0.9550228321514218,-0.0867255855086213,0.42574257425742573,valid
2020,BTCUSDT,fixed_1x,80,-0.11659180660521212,0.6088461000038444,-0.13314203165041583,0.3,valid
2020,BTCUSDT,fixed_risk_0_5pct,80,-0.1067554454012291,0.5519866091783423,-0.11651425273804228,0.3,valid
2020,ETHUSDT,fixed_1x,115,-0.1982962603564761,0.6382808411215269,-0.2286586235839566,0.33043478260869563,valid
2020,ETHUSDT,fixed_risk_0_5pct,115,-0.1522135378762702,0.6046255026234646,-0.168985676682036,0.33043478260869563,valid
2020,SOLUSDT,fixed_1x,39,-0.10673113029218911,0.6952797225104826,-0.2097560679076248,0.3076923076923077,valid
2020,SOLUSDT,fixed_risk_0_5pct,39,-0.041356077197992,0.7077463506423346,-0.081188657001527,0.3076923076923077,valid
2021,BNBUSDT,fixed_1x,131,-0.3970891430329701,0.49730543021077905,-0.41194885415075055,0.25190839694656486,valid
2021,BNBUSDT,fixed_risk_0_5pct,131,-0.26737828335151276,0.41758260807837816,-0.27085732070146396,0.25190839694656486,valid
2021,BTCUSDT,fixed_1x,100,-0.09787276966527506,0.7642464492374296,-0.14862820428954493,0.33,valid
2021,BTCUSDT,fixed_risk_0_5pct,100,-0.1110203552728517,0.6540620498665931,-0.13482116346236284,0.33,valid
2021,ETHUSDT,fixed_1x,118,-0.11579551251603806,0.7753878407353552,-0.18527520690552202,0.3474576271186441,valid
2021,ETHUSDT,fixed_risk_0_5pct,118,-0.13197532158075834,0.6228190274373465,-0.1734496003404744,0.3474576271186441,valid
2021,SOLUSDT,fixed_1x,119,0.22855718216476947,1.186783677351707,-0.20410412164918568,0.4117647058823529,valid
2021,SOLUSDT,fixed_risk_0_5pct,119,0.00540860414896549,1.0140645181793024,-0.09577059597766224,0.4117647058823529,valid
2022,BNBUSDT,fixed_1x,96,-0.09106040520251327,0.6082258670236077,-0.103845187167937,0.34375,valid
2022,BNBUSDT,fixed_risk_0_5pct,96,-0.08542358613581816,0.6236728090045369,-0.09885313179444222,0.34375,valid
